r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS01,2031,1.1536
KENYA,BESS_TECH,TS01,2033,0.8266
KENYA,BESS_TECH,TS01,2034,3.0687
KENYA,BESS_TECH,TS01,2035,3.7761
KENYA,BESS_TECH,TS01,2036,3.3614
KENYA,BESS_TECH,TS01,2039,0.6694
KENYA,BESS_TECH,TS01,2043,8.2709
KENYA,BESS_TECH,TS01,2044,4.4046
KENYA,BESS_TECH,TS01,2045,7.1816
KENYA,BESS_TECH,TS01,2046,25.8825
KENYA,BESS_TECH,TS01,2047,54.8593
KENYA,BESS_TECH,TS01,2048,71.5202
KENYA,BESS_TECH,TS01,2049,71.5202
KENYA,BESS_TECH,TS01,2050,72.4099
KENYA,BESS_TECH,TS02,2028,0.0417
KENYA,BESS_TECH,TS02,2031,0.4757
KENYA,BESS_TECH,TS02,2038,4.5206
KENYA,BESS_TECH,TS02,2041,1.1104
KENYA,BESS_TECH,TS02,2042,0.1228
KENYA,BESS_TECH,TS02,2045,18.5506
KENYA,BESS_TECH,TS02,2046,3.8473
KENYA,BESS_TECH,TS02,2047,35.813
KENYA,BESS_TECH,TS02,2048,44.4964
KENYA,BESS_TECH,TS02,2049,47.4366
KENYA,BESS_TECH,TS02,2050,72.4099
KENYA,BESS_TECH,TS03,2029,0.4895
KENYA,BESS_TECH,TS03,2032,1.6338
KENYA,BESS_TECH,TS03,2036,4.0829
KENYA,BESS_TECH,TS03,2037,7.3364
KENYA,BESS_TECH,TS03,2038,2.2991
KENYA,BESS_TECH,TS03,2041,1.4875
KENYA,BESS_TECH,TS03,2042,4.1739
KENYA,BESS_TECH,TS03,2046,34.7826
KENYA,BESS_TECH,TS03,2047,54.8593
KENYA,BESS_TECH,TS03,2048,71.5202
KENYA,BESS_TECH,TS03,2049,71.5202
KENYA,BESS_TECH,TS03,2050,72.4099
KENYA,BESS_TECH,TS04,2028,0.8965
KENYA,BESS_TECH,TS04,2029,1.1092
KENYA,BESS_TECH,TS04,2030,0.9887
KENYA,BESS_TECH,TS04,2031,0.7238
KENYA,BESS_TECH,TS04,2032,0.9658
KENYA,BESS_TECH,TS04,2033,1.7079
KENYA,BESS_TECH,TS04,2034,7.298
KENYA,BESS_TECH,TS04,2035,7.3364
KENYA,BESS_TECH,TS04,2036,7.3364
KENYA,BESS_TECH,TS04,2037,7.3364
KENYA,BESS_TECH,TS04,2038,4.4797
KENYA,BESS_TECH,TS04,2039,0.8257
KENYA,BESS_TECH,TS04,2041,3.9687
KENYA,BESS_TECH,TS04,2042,4.1739
KENYA,BESS_TECH,TS04,2043,8.7264
KENYA,BESS_TECH,TS04,2044,7.3057
KENYA,BESS_TECH,TS04,2045,2.9754
KENYA,BESS_TECH,TS04,2046,5.7399
KENYA,BESS_TECH,TS04,2047,14.0777
KENYA,BESS_TECH,TS04,2048,16.7341
KENYA,BESS_TECH,TS04,2049,20.5398
KENYA,BESS_TECH,TS04,2050,2.3735
KENYA,BESS_TECH,TS05,2028,0.5764
KENYA,BESS_TECH,TS05,2029,0.6066
KENYA,BESS_TECH,TS05,2030,2.6895
KENYA,BESS_TECH,TS05,2031,2.6663
KENYA,BESS_TECH,TS05,2032,2.899
KENYA,BESS_TECH,TS05,2033,3.5015
KENYA,BESS_TECH,TS05,2034,5.3219
KENYA,BESS_TECH,TS05,2035,7.3364
KENYA,BESS_TECH,TS05,2036,7.3364
KENYA,BESS_TECH,TS05,2037,7.3364
KENYA,BESS_TECH,TS05,2038,4.5206
KENYA,BESS_TECH,TS05,2039,0.3277
KENYA,BESS_TECH,TS05,2041,3.9687
KENYA,BESS_TECH,TS05,2042,4.1739
KENYA,BESS_TECH,TS05,2043,7.0004
KENYA,BESS_TECH,TS05,2044,2.8419
KENYA,BESS_TECH,TS05,2045,5.1727
KENYA,BESS_TECH,TS05,2048,6.48
KENYA,BESS_TECH,TS05,2049,9.0221
KENYA,BESS_TECH,TS05,2050,4.747
KENYA,BESS_TECH,TS06,2028,0.7813
KENYA,BESS_TECH,TS06,2029,0.1112
KENYA,BESS_TECH,TS06,2030,3.157
KENYA,BESS_TECH,TS06,2033,3.026
KENYA,BESS_TECH,TS06,2034,7.3364
KENYA,BESS_TECH,TS06,2035,7.3364
KENYA,BESS_TECH,TS06,2037,0.2158
KENYA,BESS_TECH,TS06,2041,3.9687
KENYA,BESS_TECH,TS06,2044,2.9975
KENYA,BESS_TECH,TS06,2045,4.7138
KENYA,BESS_TECH,TS06,2046,29.4134
KENYA,BESS_TECH,TS06,2047,54.8593
KENYA,BESS_TECH,TS06,2048,71.5202
KENYA,BESS_TECH,TS06,2049,69.1225
KENYA,BESS_TECH,TS06,2050,72.4099
KENYA,BESS_TECH,TS07,2028,2.8158
KENYA,BESS_TECH,TS07,2030,2.8182
KENYA,BESS_TECH,TS07,2031,4.4884
KENYA,BESS_TECH,TS07,2032,1.6816
KENYA,BESS_TECH,TS07,2033,3.1143
KENYA,BESS_TECH,TS07,2035,4.7609
KENYA,BESS_TECH,TS07,2036,0.2865
KENYA,BESS_TECH,TS07,2037,3.7079
KENYA,BESS_TECH,TS07,2039,1.5346
KENYA,BESS_TECH,TS07,2041,1.1548
KENYA,BESS_TECH,TS07,2042,1.4117
KENYA,BESS_TECH,TS07,2043,9.7341
KENYA,BESS_TECH,TS07,2044,16.1006
KENYA,BESS_TECH,TS07,2045,23.1071
KENYA,BESS_TECH,TS07,2046,28.9491
KENYA,BESS_TECH,TS07,2047,44.4722
KENYA,BESS_TECH,TS07,2048,61.7836
KENYA,BESS_TECH,TS07,2049,66.4867
KENYA,BESS_TECH,TS07,2050,68.9045
KENYA,BESS_TECH,TS08,2028,0.0828
KENYA,BESS_TECH,TS08,2030,1.2193
KENYA,BESS_TECH,TS08,2031,1.914
KENYA,BESS_TECH,TS08,2034,0.1795
KENYA,BESS_TECH,TS08,2035,3.7478
KENYA,BESS_TECH,TS08,2037,2.4529
KENYA,BESS_TECH,TS08,2038,4.5206
KENYA,BESS_TECH,TS08,2043,0.9991
KENYA,BESS_TECH,TS08,2044,18.9193
KENYA,BESS_TECH,TS08,2045,28.199
KENYA,BESS_TECH,TS08,2046,34.7826
KENYA,BESS_TECH,TS08,2047,54.8593
KENYA,BESS_TECH,TS08,2048,71.5202
KENYA,BESS_TECH,TS08,2049,71.5202
KENYA,BESS_TECH,TS08,2050,72.4099
KENYA,BESS_TECH,TS09,2029,1.808
KENYA,BESS_TECH,TS09,2030,0.474
KENYA,BESS_TECH,TS09,2031,0.9878
KENYA,BESS_TECH,TS09,2032,0.172
KENYA,BESS_TECH,TS09,2035,0.8721
KENYA,BESS_TECH,TS09,2038,1.5566
KENYA,BESS_TECH,TS09,2043,13.1672
KENYA,BESS_TECH,TS09,2044,18.9193
KENYA,BESS_TECH,TS09,2045,28.199
KENYA,BESS_TECH,TS09,2046,34.7826
KENYA,BESS_TECH,TS09,2047,54.8593
KENYA,BESS_TECH,TS09,2048,71.5202
KENYA,BESS_TECH,TS09,2049,71.5202
KENYA,BESS_TECH,TS09,2050,72.4099
KENYA,BESS_TECH,TS10,2028,2.8158
KENYA,BESS_TECH,TS10,2029,3.9692
KENYA,BESS_TECH,TS10,2030,1.6191
KENYA,BESS_TECH,TS10,2031,2.6142
KENYA,BESS_TECH,TS10,2032,3.2292
KENYA,BESS_TECH,TS10,2033,0.9785
KENYA,BESS_TECH,TS10,2034,0.2984
KENYA,BESS_TECH,TS10,2035,1.0434
KENYA,BESS_TECH,TS10,2036,0.1716
KENYA,BESS_TECH,TS10,2038,4.5206
KENYA,BESS_TECH,TS10,2039,0.6828
KENYA,BESS_TECH,TS10,2041,3.9687
KENYA,BESS_TECH,TS10,2042,4.1739
KENYA,BESS_TECH,TS10,2043,0.4333
KENYA,BESS_TECH,TS10,2044,3.5866
KENYA,BESS_TECH,TS10,2045,10.8231
KENYA,BESS_TECH,TS10,2046,12.7965
KENYA,BESS_TECH,TS10,2047,12.9059
KENYA,BESS_TECH,TS10,2048,10.697
KENYA,BESS_TECH,TS10,2049,8.4876
KENYA,BESS_TECH,TS10,2050,4.4246
KENYA,BESS_TECH,TS11,2028,2.8158
KENYA,BESS_TECH,TS11,2029,3.5637
KENYA,BESS_TECH,TS11,2030,1.8901
KENYA,BESS_TECH,TS11,2031,2.2918
KENYA,BESS_TECH,TS11,2032,2.5108
KENYA,BESS_TECH,TS11,2033,7.3364
KENYA,BESS_TECH,TS11,2034,7.3364
KENYA,BESS_TECH,TS11,2035,7.3364
KENYA,BESS_TECH,TS11,2036,7.3364
KENYA,BESS_TECH,TS11,2037,7.3364
KENYA,BESS_TECH,TS11,2038,2.2435
KENYA,BESS_TECH,TS11,2039,3.1715
KENYA,BESS_TECH,TS11,2041,3.9687
KENYA,BESS_TECH,TS11,2042,4.1739
KENYA,BESS_TECH,TS11,2043,7.2782
KENYA,BESS_TECH,TS11,2044,12.687
KENYA,BESS_TECH,TS11,2045,9.5275
KENYA,BESS_TECH,TS11,2046,7.9909
KENYA,BESS_TECH,TS11,2047,31.64
KENYA,BESS_TECH,TS11,2048,34.3226
KENYA,BESS_TECH,TS11,2049,14.3733
KENYA,BESS_TECH,TS11,2050,12.0279
KENYA,BESS_TECH,TS12,2029,4.1649
KENYA,BESS_TECH,TS12,2032,2.3602
KENYA,BESS_TECH,TS12,2033,0.0581
KENYA,BESS_TECH,TS12,2034,5.5461
KENYA,BESS_TECH,TS12,2035,2.3446
KENYA,BESS_TECH,TS12,2036,4.622
KENYA,BESS_TECH,TS12,2041,0.3752
KENYA,BESS_TECH,TS12,2043,3.5281
KENYA,BESS_TECH,TS12,2044,11.122
KENYA,BESS_TECH,TS12,2045,17.2946
KENYA,BESS_TECH,TS12,2046,23.7311
KENYA,BESS_TECH,TS12,2047,36.7689
KENYA,BESS_TECH,TS12,2048,53.3026
KENYA,BESS_TECH,TS12,2049,60.3808
KENYA,BESS_TECH,TS12,2050,65.2981
KENYA,BESS_TECH,TS13,2028,1.6086
KENYA,BESS_TECH,TS13,2031,1.1062
KENYA,BESS_TECH,TS13,2032,0.8269
KENYA,BESS_TECH,TS13,2033,0.5243
KENYA,BESS_TECH,TS13,2035,1.382
KENYA,BESS_TECH,TS13,2036,3.7761
KENYA,BESS_TECH,TS13,2037,3.7761
KENYA,BESS_TECH,TS13,2039,1.4113
KENYA,BESS_TECH,TS13,2046,28.9196
KENYA,BESS_TECH,TS13,2047,46.905
KENYA,BESS_TECH,TS13,2048,60.7619
KENYA,BESS_TECH,TS13,2049,52.6863
KENYA,BESS_TECH,TS13,2050,62.1056
KENYA,BESS_TECH,TS14,2035,0.0937
KENYA,BESS_TECH,TS14,2041,2.9731
KENYA,BESS_TECH,TS14,2043,8.2407
KENYA,BESS_TECH,TS14,2044,8.5353
KENYA,BESS_TECH,TS14,2045,21.8132
KENYA,BESS_TECH,TS14,2046,34.0405
KENYA,BESS_TECH,TS14,2047,54.8593
KENYA,BESS_TECH,TS14,2048,64.707
KENYA,BESS_TECH,TS14,2049,71.5202
KENYA,BESS_TECH,TS14,2050,72.4099
KENYA,BESS_TECH,TS15,2029,0.3492
KENYA,BESS_TECH,TS15,2032,0.1794
KENYA,BESS_TECH,TS15,2033,2.1297
KENYA,BESS_TECH,TS15,2034,3.9533
KENYA,BESS_TECH,TS15,2035,2.3473
KENYA,BESS_TECH,TS15,2042,1.4965
KENYA,BESS_TECH,TS15,2043,5.7093
KENYA,BESS_TECH,TS15,2044,2.2635
KENYA,BESS_TECH,TS15,2046,34.7826
KENYA,BESS_TECH,TS15,2047,54.8593
KENYA,BESS_TECH,TS15,2048,71.5202
KENYA,BESS_TECH,TS15,2049,71.5202
KENYA,BESS_TECH,TS15,2050,72.4099
KENYA,BESS_TECH,TS16,2028,2.8158
KENYA,BESS_TECH,TS16,2029,4.1649
KENYA,BESS_TECH,TS16,2030,2.992
KENYA,BESS_TECH,TS16,2031,3.6258
KENYA,BESS_TECH,TS16,2032,3.7456
KENYA,BESS_TECH,TS16,2033,3.5071
KENYA,BESS_TECH,TS16,2034,7.3364
KENYA,BESS_TECH,TS16,2035,7.3364
KENYA,BESS_TECH,TS16,2036,7.3364
KENYA,BESS_TECH,TS16,2037,7.3364
KENYA,BESS_TECH,TS16,2038,3.5133
KENYA,BESS_TECH,TS16,2039,0.5005
KENYA,BESS_TECH,TS16,2041,0.2132
KENYA,BESS_TECH,TS16,2042,0.1252
KENYA,BESS_TECH,TS16,2043,7.9471
KENYA,BESS_TECH,TS16,2044,12.5903
KENYA,BESS_TECH,TS16,2045,11.7718
KENYA,BESS_TECH,TS16,2046,4.7112
KENYA,BESS_TECH,TS16,2047,7.1325
KENYA,BESS_TECH,TS16,2048,8.2176
KENYA,BESS_TECH,TS16,2049,8.5314
KENYA,BESS_TECH,TS16,2050,7.8886
KENYA,BESS_TECH,TS17,2028,0.8757
KENYA,BESS_TECH,TS17,2029,1.1405
KENYA,BESS_TECH,TS17,2030,3.8656
KENYA,BESS_TECH,TS17,2031,3.981
KENYA,BESS_TECH,TS17,2032,4.516
KENYA,BESS_TECH,TS17,2033,0.8325
KENYA,BESS_TECH,TS17,2034,7.3364
KENYA,BESS_TECH,TS17,2035,7.3364
KENYA,BESS_TECH,TS17,2036,7.3364
KENYA,BESS_TECH,TS17,2037,7.3364
KENYA,BESS_TECH,TS17,2038,4.5206
KENYA,BESS_TECH,TS17,2039,3.1715
KENYA,BESS_TECH,TS17,2041,3.9687
KENYA,BESS_TECH,TS17,2042,4.1739
KENYA,BESS_TECH,TS17,2043,13.1672
KENYA,BESS_TECH,TS17,2044,5.8711
KENYA,BESS_TECH,TS17,2045,3.047
KENYA,BESS_TECH,TS17,2046,6.8147
KENYA,BESS_TECH,TS17,2047,11.5131
KENYA,BESS_TECH,TS17,2048,15.0976
KENYA,BESS_TECH,TS17,2049,38.62
KENYA,BESS_TECH,TS17,2050,15.7189
KENYA,BESS_TECH,TS18,2029,4.1649
