r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,1,1,2028,0.5225
KENYA,BESS001,1,1,2029,0.7378
KENYA,BESS001,1,1,2030,0.9586
KENYA,BESS001,1,1,2031,0.9586
KENYA,BESS001,1,1,2032,1.0673
KENYA,BESS001,1,1,2033,1.099
KENYA,BESS001,1,1,2034,1.5377
KENYA,BESS001,1,1,2035,1.5811
KENYA,BESS001,1,1,2036,1.5935
KENYA,BESS001,1,1,2037,1.6357
KENYA,BESS001,1,1,2038,1.1132
KENYA,BESS001,1,1,2039,0.898
KENYA,BESS001,1,1,2040,0.897
KENYA,BESS001,1,1,2041,0.897
KENYA,BESS001,1,1,2042,0.9734
KENYA,BESS001,1,1,2043,2.5991
KENYA,BESS001,1,1,2044,3.2738
KENYA,BESS001,1,1,2045,4.9285
KENYA,BESS001,1,1,2046,8.191
KENYA,BESS001,1,1,2047,12.605
KENYA,BESS001,1,1,2048,18.4994
KENYA,BESS001,1,1,2049,18.4994
KENYA,BESS001,1,1,2050,18.2795
KENYA,BESS001,1,2,2028,0.5225
KENYA,BESS001,1,2,2029,0.7378
KENYA,BESS001,1,2,2030,0.9586
KENYA,BESS001,1,2,2031,0.9586
KENYA,BESS001,1,2,2032,1.0673
KENYA,BESS001,1,2,2033,1.099
KENYA,BESS001,1,2,2034,1.5377
KENYA,BESS001,1,2,2035,1.5811
KENYA,BESS001,1,2,2036,1.5935
KENYA,BESS001,1,2,2037,1.6357
KENYA,BESS001,1,2,2038,1.1132
KENYA,BESS001,1,2,2039,0.898
KENYA,BESS001,1,2,2040,0.897
KENYA,BESS001,1,2,2041,0.897
KENYA,BESS001,1,2,2042,0.9734
KENYA,BESS001,1,2,2043,2.5991
KENYA,BESS001,1,2,2044,3.2738
KENYA,BESS001,1,2,2045,4.9285
KENYA,BESS001,1,2,2046,8.191
KENYA,BESS001,1,2,2047,12.605
KENYA,BESS001,1,2,2048,18.4994
KENYA,BESS001,1,2,2049,18.4994
KENYA,BESS001,1,2,2050,18.2795
KENYA,BESS001,2,1,2028,0.5994
KENYA,BESS001,2,1,2029,0.8391
KENYA,BESS001,2,1,2030,1.0768
KENYA,BESS001,2,1,2031,1.098
KENYA,BESS001,2,1,2032,1.1917
KENYA,BESS001,2,1,2033,1.256
KENYA,BESS001,2,1,2034,1.8829
KENYA,BESS001,2,1,2035,2.0131
KENYA,BESS001,2,1,2036,1.9667
KENYA,BESS001,2,1,2037,2.0285
KENYA,BESS001,2,1,2038,1.3786
KENYA,BESS001,2,1,2039,0.9544
KENYA,BESS001,2,1,2040,0.897
KENYA,BESS001,2,1,2041,1.1207
KENYA,BESS001,2,1,2042,1.2086
KENYA,BESS001,2,1,2043,3.2042
KENYA,BESS001,2,1,2044,4.0298
KENYA,BESS001,2,1,2045,6.1685
KENYA,BESS001,2,1,2046,10.8931
KENYA,BESS001,2,1,2047,17.6689
KENYA,BESS001,2,1,2048,25.1006
KENYA,BESS001,2,1,2049,25.1819
KENYA,BESS001,2,1,2050,25.04
KENYA,BESS001,2,2,2028,0.5994
KENYA,BESS001,2,2,2029,0.8391
KENYA,BESS001,2,2,2030,1.0768
KENYA,BESS001,2,2,2031,1.098
KENYA,BESS001,2,2,2032,1.1917
KENYA,BESS001,2,2,2033,1.256
KENYA,BESS001,2,2,2034,1.8829
KENYA,BESS001,2,2,2035,2.0131
KENYA,BESS001,2,2,2036,1.9667
KENYA,BESS001,2,2,2037,2.0285
KENYA,BESS001,2,2,2038,1.3786
KENYA,BESS001,2,2,2039,0.9544
KENYA,BESS001,2,2,2040,0.897
KENYA,BESS001,2,2,2041,1.1207
KENYA,BESS001,2,2,2042,1.2086
KENYA,BESS001,2,2,2043,3.2042
KENYA,BESS001,2,2,2044,4.0298
KENYA,BESS001,2,2,2045,6.1685
KENYA,BESS001,2,2,2046,10.8931
KENYA,BESS001,2,2,2047,17.6689
KENYA,BESS001,2,2,2048,25.1006
KENYA,BESS001,2,2,2049,25.1819
KENYA,BESS001,2,2,2050,25.04
KENYA,BESS001,3,1,2028,0.7122
KENYA,BESS001,3,1,2029,0.9992
KENYA,BESS001,3,1,2030,1.2238
KENYA,BESS001,3,1,2031,1.2579
KENYA,BESS001,3,1,2032,1.3538
KENYA,BESS001,3,1,2033,1.4485
KENYA,BESS001,3,1,2034,2.2624
KENYA,BESS001,3,1,2035,2.4095
KENYA,BESS001,3,1,2036,2.3632
KENYA,BESS001,3,1,2037,2.425
KENYA,BESS001,3,1,2038,1.5033
KENYA,BESS001,3,1,2039,1.072
KENYA,BESS001,3,1,2040,0.897
KENYA,BESS001,3,1,2041,1.2594
KENYA,BESS001,3,1,2042,1.3525
KENYA,BESS001,3,1,2043,3.8105
KENYA,BESS001,3,1,2044,4.5076
KENYA,BESS001,3,1,2045,6.8562
KENYA,BESS001,3,1,2046,12.8953
KENYA,BESS001,3,1,2047,20.8259
KENYA,BESS001,3,1,2048,29.1002
KENYA,BESS001,3,1,2049,29.2953
KENYA,BESS001,3,1,2050,29.2242
KENYA,BESS001,3,2,2028,0.7122
KENYA,BESS001,3,2,2029,0.9992
KENYA,BESS001,3,2,2030,1.2238
KENYA,BESS001,3,2,2031,1.2579
KENYA,BESS001,3,2,2032,1.3538
KENYA,BESS001,3,2,2033,1.4485
KENYA,BESS001,3,2,2034,2.2624
KENYA,BESS001,3,2,2035,2.4095
KENYA,BESS001,3,2,2036,2.3632
KENYA,BESS001,3,2,2037,2.425
KENYA,BESS001,3,2,2038,1.5033
KENYA,BESS001,3,2,2039,1.072
KENYA,BESS001,3,2,2040,0.897
KENYA,BESS001,3,2,2041,1.2594
KENYA,BESS001,3,2,2042,1.3525
KENYA,BESS001,3,2,2043,3.8105
KENYA,BESS001,3,2,2044,4.5076
KENYA,BESS001,3,2,2045,6.8562
KENYA,BESS001,3,2,2046,12.8953
KENYA,BESS001,3,2,2047,20.8259
KENYA,BESS001,3,2,2048,29.1002
KENYA,BESS001,3,2,2049,29.2953
KENYA,BESS001,3,2,2050,29.2242
KENYA,BESS001,4,1,2028,1.044
KENYA,BESS001,4,1,2029,1.4739
KENYA,BESS001,4,1,2030,1.8389
KENYA,BESS001,4,1,2031,1.9161
KENYA,BESS001,4,1,2032,2.1331
KENYA,BESS001,4,1,2033,2.196
KENYA,BESS001,4,1,2034,3.0711
KENYA,BESS001,4,1,2035,3.1579
KENYA,BESS001,4,1,2036,3.182
KENYA,BESS001,4,1,2037,3.2676
KENYA,BESS001,4,1,2038,1.7877
KENYA,BESS001,4,1,2039,1.4992
KENYA,BESS001,4,1,2040,0.897
KENYA,BESS001,4,1,2041,1.7932
KENYA,BESS001,4,1,2042,1.9458
KENYA,BESS001,4,1,2043,5.1922
KENYA,BESS001,4,1,2044,6.527
KENYA,BESS001,4,1,2045,9.8278
KENYA,BESS001,4,1,2046,16.3454
KENYA,BESS001,4,1,2047,25.153
KENYA,BESS001,4,1,2048,36.9255
KENYA,BESS001,4,1,2049,35.9182
KENYA,BESS001,4,1,2050,36.12
KENYA,BESS001,4,2,2028,1.044
