r,t,f,y,UseByTechnologyAnnual
KENYA,BESS_TECH,ELC001,2028,0.6188
KENYA,BESS_TECH,ELC001,2029,0.8482
KENYA,BESS_TECH,ELC001,2030,1.0344
KENYA,BESS_TECH,ELC001,2031,1.041
KENYA,BESS_TECH,ELC001,2032,1.1679
KENYA,BESS_TECH,ELC001,2033,1.2733
KENYA,BESS_TECH,ELC001,2034,1.8605
KENYA,BESS_TECH,ELC001,2035,1.9035
KENYA,BESS_TECH,ELC001,2036,1.9622
KENYA,BESS_TECH,ELC001,2037,1.928
KENYA,BESS_TECH,ELC001,2038,0.8658
KENYA,BESS_TECH,ELC001,2039,0.689
KENYA,BESS_TECH,ELC001,2041,0.9795
KENYA,BESS_TECH,ELC001,2042,1.0601
KENYA,BESS_TECH,ELC001,2043,3.0178
KENYA,BESS_TECH,ELC001,2044,4.3022
KENYA,BESS_TECH,ELC001,2045,7.1314
KENYA,BESS_TECH,ELC001,2046,11.5095
KENYA,BESS_TECH,ELC001,2047,17.8023
KENYA,BESS_TECH,ELC001,2048,25.2083
KENYA,BESS_TECH,ELC001,2049,24.203
KENYA,BESS_TECH,ELC001,2050,24.7248
KENYA,DEMCOMELC,ELC003,2019,6.2591
KENYA,DEMCOMELC,ELC003,2020,6.3686
KENYA,DEMCOMELC,ELC003,2021,6.6578
KENYA,DEMCOMELC,ELC003,2022,6.8802
KENYA,DEMCOMELC,ELC003,2023,7.0903
KENYA,DEMCOMELC,ELC003,2024,7.3334
KENYA,DEMCOMELC,ELC003,2025,7.5982
KENYA,DEMCOMELC,ELC003,2026,8.2896
KENYA,DEMCOMELC,ELC003,2027,9.0439
KENYA,DEMCOMELC,ELC003,2028,9.8669
KENYA,DEMCOMELC,ELC003,2029,10.7647
KENYA,DEMCOMELC,ELC003,2030,11.7442
KENYA,DEMCOMELC,ELC003,2031,12.8129
KENYA,DEMCOMELC,ELC003,2032,13.9788
KENYA,DEMCOMELC,ELC003,2033,15.2508
KENYA,DEMCOMELC,ELC003,2034,16.6385
KENYA,DEMCOMELC,ELC003,2035,18.1525
KENYA,DEMCOMELC,ELC003,2036,19.8043
KENYA,DEMCOMELC,ELC003,2037,21.6064
KENYA,DEMCOMELC,ELC003,2038,23.5724
KENYA,DEMCOMELC,ELC003,2039,25.7174
KENYA,DEMCOMELC,ELC003,2040,28.0576
KENYA,DEMCOMELC,ELC003,2041,30.6106
KENYA,DEMCOMELC,ELC003,2042,33.1545
KENYA,DEMCOMELC,ELC003,2043,35.858
KENYA,DEMCOMELC,ELC003,2044,38.7819
KENYA,DEMCOMELC,ELC003,2045,41.9442
KENYA,DEMCOMELC,ELC003,2046,45.3644
KENYA,DEMCOMELC,ELC003,2047,49.0635
KENYA,DEMCOMELC,ELC003,2048,53.0642
KENYA,DEMCOMELC,ELC003,2049,57.3912
KENYA,DEMCOMELC,ELC003,2050,62.0709
KENYA,DEMINDELC,ELC003,2019,21.5631
KENYA,DEMINDELC,ELC003,2020,21.9401
KENYA,DEMINDELC,ELC003,2021,22.9364
KENYA,DEMINDELC,ELC003,2022,23.7027
KENYA,DEMINDELC,ELC003,2023,24.4266
KENYA,DEMINDELC,ELC003,2024,25.264
KENYA,DEMINDELC,ELC003,2025,26.1763
KENYA,DEMINDELC,ELC003,2026,28.5582
KENYA,DEMINDELC,ELC003,2027,31.1568
KENYA,DEMINDELC,ELC003,2028,33.9919
KENYA,DEMINDELC,ELC003,2029,37.085
KENYA,DEMINDELC,ELC003,2030,40.4595
KENYA,DEMINDELC,ELC003,2031,44.1411
KENYA,DEMINDELC,ELC003,2032,48.1577
KENYA,DEMINDELC,ELC003,2033,52.5398
KENYA,DEMINDELC,ELC003,2034,57.3206
KENYA,DEMINDELC,ELC003,2035,62.5364
KENYA,DEMINDELC,ELC003,2036,68.2269
