r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2031,-0.0439
KENYA,BESS001,1,1,1,2034,0.0278
KENYA,BESS001,1,1,1,2035,0.1661
KENYA,BESS001,1,1,1,2036,0.1745
KENYA,BESS001,1,1,1,2038,0.0006
KENYA,BESS001,1,1,1,2039,0.1412
KENYA,BESS001,1,1,1,2041,0.004
KENYA,BESS001,1,1,1,2042,-0.1594
KENYA,BESS001,1,1,1,2043,-0.2974
KENYA,BESS001,1,1,1,2044,-0.3678
KENYA,BESS001,1,1,1,2045,-0.5742
KENYA,BESS001,1,1,1,2046,-0.6225
KENYA,BESS001,1,1,1,2047,-0.6524
KENYA,BESS001,1,1,1,2048,-1.0048
KENYA,BESS001,1,1,1,2049,-0.8972
KENYA,BESS001,1,1,1,2050,-0.747
KENYA,BESS001,1,1,2,2026,-0.0255
KENYA,BESS001,1,1,2,2027,-0.0347
KENYA,BESS001,1,1,2,2029,0.0335
KENYA,BESS001,1,1,2,2035,0.022
KENYA,BESS001,1,1,2,2037,0.0048
KENYA,BESS001,1,1,2,2038,0.0643
KENYA,BESS001,1,1,2,2040,0.0229
KENYA,BESS001,1,1,2,2041,0.1643
KENYA,BESS001,1,1,2,2042,0.1643
KENYA,BESS001,1,1,2,2043,0.3064
KENYA,BESS001,1,1,2,2044,0.3856
KENYA,BESS001,1,1,2,2045,0.5107
KENYA,BESS001,1,1,2,2046,0.5778
KENYA,BESS001,1,1,2,2047,0.5986
KENYA,BESS001,1,1,2,2048,0.582
KENYA,BESS001,1,1,3,2025,-0.0274
KENYA,BESS001,1,1,3,2028,0.0537
KENYA,BESS001,1,1,3,2031,-0.0283
KENYA,BESS001,1,1,3,2032,-0.0546
KENYA,BESS001,1,1,3,2035,0.0376
KENYA,BESS001,1,1,3,2036,0.0735
KENYA,BESS001,1,1,3,2037,0.3233
KENYA,BESS001,1,1,3,2040,0.0007
KENYA,BESS001,1,1,3,2041,0.1651
KENYA,BESS001,1,1,3,2042,0.3285
KENYA,BESS001,1,1,3,2043,0.6127
KENYA,BESS001,1,1,3,2044,0.7713
KENYA,BESS001,1,1,3,2045,1.0213
KENYA,BESS001,1,1,3,2046,1.1557
KENYA,BESS001,1,1,3,2047,1.3774
KENYA,BESS001,1,1,3,2048,1.3723
KENYA,BESS001,1,1,3,2049,1.3148
KENYA,BESS001,1,1,3,2050,0.535
KENYA,BESS001,1,1,4,2025,0.0183
KENYA,BESS001,1,1,4,2026,0.006
KENYA,BESS001,1,1,4,2027,0.0097
KENYA,BESS001,1,1,4,2028,-0.0509
KENYA,BESS001,1,1,4,2029,-0.0369
KENYA,BESS001,1,1,4,2030,0.0016
KENYA,BESS001,1,1,4,2031,0.0294
KENYA,BESS001,1,1,4,2032,0.0185
KENYA,BESS001,1,1,4,2033,0.0558
KENYA,BESS001,1,1,4,2034,-0.1873
KENYA,BESS001,1,1,4,2035,-0.2931
KENYA,BESS001,1,1,4,2036,-0.245
KENYA,BESS001,1,1,4,2037,-0.2161
KENYA,BESS001,1,1,4,2038,-0.0963
KENYA,BESS001,1,1,4,2039,-0.0944
KENYA,BESS001,1,1,4,2040,-0.0306
KENYA,BESS001,1,1,4,2041,-0.2195
KENYA,BESS001,1,1,4,2042,-0.2195
KENYA,BESS001,1,1,4,2043,-0.4094
KENYA,BESS001,1,1,4,2044,-0.5153
KENYA,BESS001,1,1,4,2045,-0.4849
KENYA,BESS001,1,1,4,2046,-0.6226
KENYA,BESS001,1,1,4,2047,-0.8203
KENYA,BESS001,1,1,4,2048,-0.4334
KENYA,BESS001,1,1,4,2049,0.046
KENYA,BESS001,1,1,4,2050,0.6543
KENYA,BESS001,1,1,5,2025,0.0092
KENYA,BESS001,1,1,5,2026,0.0192
KENYA,BESS001,1,1,5,2027,0.0247
KENYA,BESS001,1,1,5,2028,-0.0085
KENYA,BESS001,1,1,5,2030,0.025
KENYA,BESS001,1,1,5,2031,0.0419
KENYA,BESS001,1,1,5,2032,0.0354
KENYA,BESS001,1,1,5,2033,0.0506
KENYA,BESS001,1,1,5,2034,-0.0703
KENYA,BESS001,1,1,5,2035,-0.1465
KENYA,BESS001,1,1,5,2036,-0.1225
KENYA,BESS001,1,1,5,2037,-0.108
KENYA,BESS001,1,1,5,2038,-0.0672
KENYA,BESS001,1,1,5,2039,-0.0472
KENYA,BESS001,1,1,5,2040,-0.0153
KENYA,BESS001,1,1,5,2041,-0.1098
KENYA,BESS001,1,1,5,2042,-0.1098
KENYA,BESS001,1,1,5,2043,-0.2047
KENYA,BESS001,1,1,5,2044,-0.2577
KENYA,BESS001,1,1,5,2045,-0.3412
KENYA,BESS001,1,1,5,2046,-0.3861
KENYA,BESS001,1,1,5,2047,-0.4602
KENYA,BESS001,1,1,5,2048,-0.4585
KENYA,BESS001,1,1,5,2049,-0.4585
KENYA,BESS001,1,1,5,2050,-0.4449
KENYA,BESS001,1,1,6,2025,-0.0004
KENYA,BESS001,1,1,6,2028,0.0065
KENYA,BESS001,1,1,6,2029,0.0038
KENYA,BESS001,1,1,6,2030,-0.0269
KENYA,BESS001,1,1,6,2033,-0.1077
KENYA,BESS001,1,1,6,2034,0.233
KENYA,BESS001,1,1,6,2035,0.2193
KENYA,BESS001,1,1,6,2036,0.1241
KENYA,BESS001,1,1,6,2038,0.1005
KENYA,BESS001,1,1,6,2039,0.0021
KENYA,BESS001,1,1,6,2040,0.0229
KENYA,BESS001,1,1,6,2044,-0.0064
KENYA,BESS001,1,1,6,2045,-0.1214
KENYA,BESS001,1,1,6,2046,-0.0898
KENYA,BESS001,1,1,6,2047,-0.0272
KENYA,BESS001,1,1,6,2048,-0.0465
KENYA,BESS001,1,2,1,2026,0.0311
KENYA,BESS001,1,2,1,2028,0.0094
KENYA,BESS001,1,2,1,2029,0.0007
KENYA,BESS001,1,2,1,2030,0.0881
KENYA,BESS001,1,2,1,2031,0.0871
KENYA,BESS001,1,2,1,2032,0.0501
KENYA,BESS001,1,2,1,2033,0.0519
KENYA,BESS001,1,2,1,2035,0.0236
KENYA,BESS001,1,2,1,2037,-0.0078
KENYA,BESS001,1,2,1,2038,-0.0087
KENYA,BESS001,1,2,1,2040,-0.0183
KENYA,BESS001,1,2,1,2041,-0.1314
KENYA,BESS001,1,2,1,2042,-0.1314
KENYA,BESS001,1,2,1,2043,-0.2451
KENYA,BESS001,1,2,1,2044,-0.3085
KENYA,BESS001,1,2,1,2045,-0.4085
KENYA,BESS001,1,2,1,2046,-0.4623
KENYA,BESS001,1,2,1,2047,-0.551
KENYA,BESS001,1,2,1,2048,-0.5489
KENYA,BESS001,1,2,1,2049,-0.5489
KENYA,BESS001,1,2,1,2050,-0.5326
KENYA,BESS001,1,2,2,2030,-0.0181
KENYA,BESS001,1,2,2,2031,-0.0213
KENYA,BESS001,1,2,2,2035,-0.0074
KENYA,BESS001,1,2,2,2038,-0.0076
KENYA,BESS001,1,2,2,2040,0.003
KENYA,BESS001,1,2,2,2041,0.0213
KENYA,BESS001,1,2,2,2042,0.0213
KENYA,BESS001,1,2,2,2043,0.05
KENYA,BESS001,1,2,2,2044,0.1543
KENYA,BESS001,1,2,2,2045,0.2043
KENYA,BESS001,1,2,2,2046,0.1885
KENYA,BESS001,1,2,2,2047,0.2263
KENYA,BESS001,1,2,2,2048,0.191
KENYA,BESS001,1,2,2,2049,0.167
KENYA,BESS001,1,2,2,2050,0.1058
KENYA,BESS001,1,2,3,2025,-0.0037
KENYA,BESS001,1,2,3,2027,0.0256
KENYA,BESS001,1,2,3,2030,-0.0224
KENYA,BESS001,1,2,3,2031,-0.0252
KENYA,BESS001,1,2,3,2032,0.0052
KENYA,BESS001,1,2,3,2035,0.0436
KENYA,BESS001,1,2,3,2036,0.0078
KENYA,BESS001,1,2,3,2038,0.0804
KENYA,BESS001,1,2,3,2041,0.1314
KENYA,BESS001,1,2,3,2042,0.1314
KENYA,BESS001,1,2,3,2043,0.2451
KENYA,BESS001,1,2,3,2044,0.244
KENYA,BESS001,1,2,3,2045,0.3633
KENYA,BESS001,1,2,3,2046,0.4623
KENYA,BESS001,1,2,3,2047,0.551
KENYA,BESS001,1,2,3,2048,0.5489
KENYA,BESS001,1,2,3,2049,0.5489
KENYA,BESS001,1,2,3,2050,0.5326
KENYA,BESS001,1,2,4,2025,0.0073
KENYA,BESS001,1,2,4,2026,-0.0264
KENYA,BESS001,1,2,4,2027,-0.0143
KENYA,BESS001,1,2,4,2028,-0.0203
KENYA,BESS001,1,2,4,2029,-0.0295
KENYA,BESS001,1,2,4,2030,-0.03
KENYA,BESS001,1,2,4,2031,-0.0276
KENYA,BESS001,1,2,4,2032,-0.0421
KENYA,BESS001,1,2,4,2033,-0.0223
KENYA,BESS001,1,2,4,2034,-0.015
KENYA,BESS001,1,2,4,2035,-0.0005
KENYA,BESS001,1,2,4,2036,0.0273
KENYA,BESS001,1,2,4,2037,0.0507
KENYA,BESS001,1,2,4,2038,-0.0535
KENYA,BESS001,1,2,4,2039,0.0376
KENYA,BESS001,1,2,4,2040,0.0122
KENYA,BESS001,1,2,4,2041,0.0874
KENYA,BESS001,1,2,4,2042,0.0874
KENYA,BESS001,1,2,4,2043,0.1528
KENYA,BESS001,1,2,4,2044,0.166
KENYA,BESS001,1,2,4,2045,0.1802
KENYA,BESS001,1,2,4,2046,0.1956
KENYA,BESS001,1,2,4,2047,0.1894
KENYA,BESS001,1,2,4,2048,0.2302
