r,s,y,NewStorageCapacity
KENYA,PHS001,2037,0.0003
KENYA,PHS001,2038,0.0009
KENYA,PHS001,2040,0.0009
KENYA,PHS002,2038,0.0013
KENYA,PHS002,2040,0.0019
KENYA,BESS001,2019,0.274
KENYA,BESS001,2026,1.1262
KENYA,BESS001,2027,0.1638
KENYA,BESS001,2028,0.0099
KENYA,BESS001,2029,0.4854
KENYA,BESS001,2030,0.5372
KENYA,BESS001,2032,0.3858
KENYA,BESS001,2033,0.1897
KENYA,BESS001,2034,0.829
KENYA,BESS001,2035,0.5565
KENYA,BESS001,2038,0.6436
KENYA,BESS001,2040,0.7296
KENYA,BESS001,2042,0.9221
KENYA,BESS001,2043,3.5827
KENYA,BESS001,2044,3.0377
KENYA,BESS001,2045,3.4381
KENYA,BESS001,2046,1.5844
KENYA,BESS001,2047,3.1161
