r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2031,-0.9974
KENYA,BESS001,1,1,1,2034,0.6325
KENYA,BESS001,1,1,1,2035,3.775
KENYA,BESS001,1,1,1,2036,3.9664
KENYA,BESS001,1,1,1,2038,0.0144
KENYA,BESS001,1,1,1,2039,3.2101
KENYA,BESS001,1,1,1,2041,0.0909
KENYA,BESS001,1,1,1,2042,-3.6233
KENYA,BESS001,1,1,1,2043,-6.758
KENYA,BESS001,1,1,1,2044,-8.3599
KENYA,BESS001,1,1,1,2045,-13.0505
KENYA,BESS001,1,1,1,2046,-14.1488
KENYA,BESS001,1,1,1,2047,-14.8281
KENYA,BESS001,1,1,1,2048,-22.8366
KENYA,BESS001,1,1,1,2049,-20.3913
KENYA,BESS001,1,1,1,2050,-16.9768
KENYA,BESS001,1,1,2,2026,-1.1611
KENYA,BESS001,1,1,2,2027,-1.5791
KENYA,BESS001,1,1,2,2029,1.5237
KENYA,BESS001,1,1,2,2035,1.0012
KENYA,BESS001,1,1,2,2037,0.2161
KENYA,BESS001,1,1,2,2038,2.9228
KENYA,BESS001,1,1,2,2040,1.0419
KENYA,BESS001,1,1,2,2041,7.4662
KENYA,BESS001,1,1,2,2042,7.4662
KENYA,BESS001,1,1,2,2043,13.9256
KENYA,BESS001,1,1,2,2044,17.5286
KENYA,BESS001,1,1,2,2045,23.2115
KENYA,BESS001,1,1,2,2046,26.2658
KENYA,BESS001,1,1,2,2047,27.2073
KENYA,BESS001,1,1,2,2048,26.453
KENYA,BESS001,1,1,3,2025,-0.6231
KENYA,BESS001,1,1,3,2028,1.2193
KENYA,BESS001,1,1,3,2031,-0.6429
KENYA,BESS001,1,1,3,2032,-1.2398
KENYA,BESS001,1,1,3,2035,0.8552
KENYA,BESS001,1,1,3,2036,1.6711
KENYA,BESS001,1,1,3,2037,7.3488
KENYA,BESS001,1,1,3,2040,0.0153
KENYA,BESS001,1,1,3,2041,3.752
KENYA,BESS001,1,1,3,2042,7.4662
KENYA,BESS001,1,1,3,2043,13.9256
KENYA,BESS001,1,1,3,2044,17.5286
KENYA,BESS001,1,1,3,2045,23.2115
KENYA,BESS001,1,1,3,2046,26.2658
KENYA,BESS001,1,1,3,2047,31.3047
KENYA,BESS001,1,1,3,2048,31.188
KENYA,BESS001,1,1,3,2049,29.8813
KENYA,BESS001,1,1,3,2050,12.1585
KENYA,BESS001,1,1,4,2025,0.6231
KENYA,BESS001,1,1,4,2026,0.2044
KENYA,BESS001,1,1,4,2027,0.3286
KENYA,BESS001,1,1,4,2028,-1.7325
KENYA,BESS001,1,1,4,2029,-1.2534
KENYA,BESS001,1,1,4,2030,0.0539
KENYA,BESS001,1,1,4,2031,1.0
KENYA,BESS001,1,1,4,2032,0.6294
KENYA,BESS001,1,1,4,2033,1.8966
KENYA,BESS001,1,1,4,2034,-6.372
KENYA,BESS001,1,1,4,2035,-9.9686
KENYA,BESS001,1,1,4,2036,-8.3349
KENYA,BESS001,1,1,4,2037,-7.3488
KENYA,BESS001,1,1,4,2038,-3.2745
KENYA,BESS001,1,1,4,2039,-3.2101
KENYA,BESS001,1,1,4,2040,-1.0419
KENYA,BESS001,1,1,4,2041,-7.4662
KENYA,BESS001,1,1,4,2042,-7.4662
KENYA,BESS001,1,1,4,2043,-13.9256
KENYA,BESS001,1,1,4,2044,-17.5286
KENYA,BESS001,1,1,4,2045,-16.4935
KENYA,BESS001,1,1,4,2046,-21.1763
KENYA,BESS001,1,1,4,2047,-27.9018
KENYA,BESS001,1,1,4,2048,-14.7414
KENYA,BESS001,1,1,4,2049,1.5652
KENYA,BESS001,1,1,4,2050,22.2541
KENYA,BESS001,1,1,5,2025,0.6231
KENYA,BESS001,1,1,5,2026,1.3077
KENYA,BESS001,1,1,5,2027,1.6772
KENYA,BESS001,1,1,5,2028,-0.577
KENYA,BESS001,1,1,5,2030,1.7028
KENYA,BESS001,1,1,5,2031,2.8496
KENYA,BESS001,1,1,5,2032,2.4068
KENYA,BESS001,1,1,5,2033,3.4405
KENYA,BESS001,1,1,5,2034,-4.7834
KENYA,BESS001,1,1,5,2035,-9.9686
KENYA,BESS001,1,1,5,2036,-8.3349
KENYA,BESS001,1,1,5,2037,-7.3488
KENYA,BESS001,1,1,5,2038,-4.5702
KENYA,BESS001,1,1,5,2039,-3.2101
KENYA,BESS001,1,1,5,2040,-1.0419
KENYA,BESS001,1,1,5,2041,-7.4662
KENYA,BESS001,1,1,5,2042,-7.4662
KENYA,BESS001,1,1,5,2043,-13.9256
KENYA,BESS001,1,1,5,2044,-17.5286
KENYA,BESS001,1,1,5,2045,-23.2115
KENYA,BESS001,1,1,5,2046,-26.2658
KENYA,BESS001,1,1,5,2047,-31.3047
KENYA,BESS001,1,1,5,2048,-31.188
KENYA,BESS001,1,1,5,2049,-31.188
KENYA,BESS001,1,1,5,2050,-30.2628
KENYA,BESS001,1,1,6,2025,-0.0183
KENYA,BESS001,1,1,6,2028,0.2956
KENYA,BESS001,1,1,6,2029,0.1722
KENYA,BESS001,1,1,6,2030,-1.2248
KENYA,BESS001,1,1,6,2033,-4.8934
KENYA,BESS001,1,1,6,2034,10.5917
KENYA,BESS001,1,1,6,2035,9.9686
KENYA,BESS001,1,1,6,2036,5.6399
KENYA,BESS001,1,1,6,2038,4.5702
KENYA,BESS001,1,1,6,2039,0.0944
KENYA,BESS001,1,1,6,2040,1.0419
KENYA,BESS001,1,1,6,2044,-0.2932
KENYA,BESS001,1,1,6,2045,-5.5171
KENYA,BESS001,1,1,6,2046,-4.0816
KENYA,BESS001,1,1,6,2047,-1.2344
KENYA,BESS001,1,1,6,2048,-2.1136
KENYA,BESS001,1,2,1,2026,1.7679
KENYA,BESS001,1,2,1,2028,0.536
KENYA,BESS001,1,2,1,2029,0.0389
KENYA,BESS001,1,2,1,2030,5.0085
KENYA,BESS001,1,2,1,2031,4.9512
KENYA,BESS001,1,2,1,2032,2.8466
KENYA,BESS001,1,2,1,2033,2.9514
KENYA,BESS001,1,2,1,2035,1.3433
KENYA,BESS001,1,2,1,2037,-0.4441
KENYA,BESS001,1,2,1,2038,-0.4945
KENYA,BESS001,1,2,1,2040,-1.0419
KENYA,BESS001,1,2,1,2041,-7.4662
KENYA,BESS001,1,2,1,2042,-7.4662
KENYA,BESS001,1,2,1,2043,-13.9256
KENYA,BESS001,1,2,1,2044,-17.5286
KENYA,BESS001,1,2,1,2045,-23.2115
KENYA,BESS001,1,2,1,2046,-26.2658
KENYA,BESS001,1,2,1,2047,-31.3047
KENYA,BESS001,1,2,1,2048,-31.188
KENYA,BESS001,1,2,1,2049,-31.188
KENYA,BESS001,1,2,1,2050,-30.2628
KENYA,BESS001,1,2,2,2030,-2.0525
KENYA,BESS001,1,2,2,2031,-2.42
KENYA,BESS001,1,2,2,2035,-0.8357
KENYA,BESS001,1,2,2,2038,-0.8654
KENYA,BESS001,1,2,2,2040,0.3371
KENYA,BESS001,1,2,2,2041,2.4155
KENYA,BESS001,1,2,2,2042,2.4155
KENYA,BESS001,1,2,2,2043,5.6811
KENYA,BESS001,1,2,2,2044,17.5286
KENYA,BESS001,1,2,2,2045,23.2115
KENYA,BESS001,1,2,2,2046,21.4148
KENYA,BESS001,1,2,2,2047,25.7128
KENYA,BESS001,1,2,2,2048,21.7025
KENYA,BESS001,1,2,2,2049,18.9803
KENYA,BESS001,1,2,2,2050,12.0223
KENYA,BESS001,1,2,3,2025,-0.2107
KENYA,BESS001,1,2,3,2027,1.4532
KENYA,BESS001,1,2,3,2030,-1.2729
KENYA,BESS001,1,2,3,2031,-1.4309
KENYA,BESS001,1,2,3,2032,0.2968
KENYA,BESS001,1,2,3,2035,2.4746
KENYA,BESS001,1,2,3,2036,0.4454
KENYA,BESS001,1,2,3,2038,4.5702
KENYA,BESS001,1,2,3,2041,7.4662
KENYA,BESS001,1,2,3,2042,7.4662
KENYA,BESS001,1,2,3,2043,13.9256
KENYA,BESS001,1,2,3,2044,13.8624
KENYA,BESS001,1,2,3,2045,20.6432
KENYA,BESS001,1,2,3,2046,26.2658
KENYA,BESS001,1,2,3,2047,31.3047
KENYA,BESS001,1,2,3,2048,31.188
KENYA,BESS001,1,2,3,2049,31.188
KENYA,BESS001,1,2,3,2050,30.2628
KENYA,BESS001,1,2,4,2025,0.6231
KENYA,BESS001,1,2,4,2026,-2.2568
KENYA,BESS001,1,2,4,2027,-1.2199
KENYA,BESS001,1,2,4,2028,-1.7322
KENYA,BESS001,1,2,4,2029,-2.5178
KENYA,BESS001,1,2,4,2030,-2.5651
KENYA,BESS001,1,2,4,2031,-2.3578
KENYA,BESS001,1,2,4,2032,-3.5984
KENYA,BESS001,1,2,4,2033,-1.9033
KENYA,BESS001,1,2,4,2034,-1.2792
KENYA,BESS001,1,2,4,2035,-0.0418
KENYA,BESS001,1,2,4,2036,2.3326
KENYA,BESS001,1,2,4,2037,4.3309
KENYA,BESS001,1,2,4,2038,-4.5702
KENYA,BESS001,1,2,4,2039,3.2101
KENYA,BESS001,1,2,4,2040,1.0419
KENYA,BESS001,1,2,4,2041,7.4662
KENYA,BESS001,1,2,4,2042,7.4662
KENYA,BESS001,1,2,4,2043,13.0566
KENYA,BESS001,1,2,4,2044,14.1838
KENYA,BESS001,1,2,4,2045,15.4024
KENYA,BESS001,1,2,4,2046,16.7185
KENYA,BESS001,1,2,4,2047,16.1869
KENYA,BESS001,1,2,4,2048,19.6733
KENYA,BESS001,1,2,4,2049,22.7375
KENYA,BESS001,1,2,4,2050,23.1197
KENYA,BESS001,1,2,5,2025,-0.6231
KENYA,BESS001,1,2,5,2026,-1.9364
KENYA,BESS001,1,2,5,2027,-1.8567
KENYA,BESS001,1,2,5,2028,-4.4024
KENYA,BESS001,1,2,5,2029,-4.6668
KENYA,BESS001,1,2,5,2030,-2.8802
KENYA,BESS001,1,2,5,2031,-2.1147
KENYA,BESS001,1,2,5,2032,-3.0131
KENYA,BESS001,1,2,5,2033,-8.8539
KENYA,BESS001,1,2,5,2034,-10.5917
KENYA,BESS001,1,2,5,2035,-9.9686
KENYA,BESS001,1,2,5,2036,-8.3349
KENYA,BESS001,1,2,5,2037,-7.3488
KENYA,BESS001,1,2,5,2038,-4.5702
KENYA,BESS001,1,2,5,2039,-3.2101
KENYA,BESS001,1,2,5,2040,-1.0419
KENYA,BESS001,1,2,5,2041,-7.4662
KENYA,BESS001,1,2,5,2042,-7.4662
KENYA,BESS001,1,2,5,2043,-13.9256
KENYA,BESS001,1,2,5,2044,-17.5286
KENYA,BESS001,1,2,5,2045,-23.2115
KENYA,BESS001,1,2,5,2046,-26.2658
KENYA,BESS001,1,2,5,2047,-31.3047
KENYA,BESS001,1,2,5,2048,-31.188
KENYA,BESS001,1,2,5,2049,-31.188
KENYA,BESS001,1,2,5,2050,-30.2628
KENYA,BESS001,1,2,6,2026,0.8274
KENYA,BESS001,1,2,6,2028,4.2497
KENYA,BESS001,1,2,6,2029,6.4857
KENYA,BESS001,1,2,6,2032,0.6198
KENYA,BESS001,1,2,6,2033,2.6617
KENYA,BESS001,1,2,6,2034,8.8957
KENYA,BESS001,1,2,6,2036,1.5916
KENYA,BESS001,1,2,6,2038,1.9889
KENYA,BESS001,1,2,6,2039,-2.1715
KENYA,BESS001,1,2,6,2040,1.0419
KENYA,BESS001,1,2,6,2041,-7.4662
KENYA,BESS001,1,2,6,2042,-7.4662
KENYA,BESS001,1,2,6,2043,-13.9256
KENYA,BESS001,1,2,6,2044,-17.5286
KENYA,BESS001,1,2,6,2045,-23.2115
KENYA,BESS001,1,2,6,2046,-26.2658
KENYA,BESS001,1,2,6,2047,-26.436
KENYA,BESS001,1,2,6,2048,-27.2216
KENYA,BESS001,1,2,6,2049,-28.6451
KENYA,BESS001,1,2,6,2050,-22.8299
KENYA,BESS001,2,1,1,2025,0.107
KENYA,BESS001,2,1,1,2028,0.3817
KENYA,BESS001,2,1,1,2031,1.7115
KENYA,BESS001,2,1,1,2033,1.4611
KENYA,BESS001,2,1,1,2035,0.5029
KENYA,BESS001,2,1,1,2036,2.8211
KENYA,BESS001,2,1,1,2037,3.7825
KENYA,BESS001,2,1,1,2039,3.2101
KENYA,BESS001,2,1,1,2040,1.0419
KENYA,BESS001,2,1,1,2041,0.1547
KENYA,BESS001,2,1,1,2042,-2.6352
KENYA,BESS001,2,1,1,2043,-6.0957
KENYA,BESS001,2,1,1,2044,-1.4435
KENYA,BESS001,2,1,1,2045,-8.6425
KENYA,BESS001,2,1,1,2046,-9.4268
KENYA,BESS001,2,1,1,2047,-10.1407
KENYA,BESS001,2,1,1,2048,-7.4857
KENYA,BESS001,2,1,1,2049,-15.8439
KENYA,BESS001,2,1,1,2050,-12.6986
KENYA,BESS001,2,1,2,2027,3.1563
