r,s,y,StorageLevelYearStart
KENYA,BESS001,2019,0.137
KENYA,BESS001,2020,0.137
KENYA,BESS001,2021,0.137
KENYA,BESS001,2022,0.137
KENYA,BESS001,2023,0.137
KENYA,BESS001,2024,0.137
KENYA,BESS001,2025,0.137
KENYA,BESS001,2026,0.7001
KENYA,BESS001,2027,0.782
KENYA,BESS001,2028,0.7869
KENYA,BESS001,2029,0.8926
KENYA,BESS001,2030,1.1612
KENYA,BESS001,2031,1.1612
KENYA,BESS001,2032,1.3541
KENYA,BESS001,2033,1.449
KENYA,BESS001,2034,1.8635
KENYA,BESS001,2035,2.1417
KENYA,BESS001,2036,1.5786
KENYA,BESS001,2037,1.4968
KENYA,BESS001,2038,1.8136
KENYA,BESS001,2039,1.5709
KENYA,BESS001,2040,1.6671
KENYA,BESS001,2041,1.6671
KENYA,BESS001,2042,1.9352
KENYA,BESS001,2043,3.6317
KENYA,BESS001,2044,4.736
KENYA,BESS001,2045,6.1769
KENYA,BESS001,2046,6.9691
KENYA,BESS001,2047,8.5271
KENYA,BESS001,2048,8.2053
KENYA,BESS001,2049,8.2053
KENYA,BESS001,2050,7.8406
KENYA,PHS001,2037,0.0002
KENYA,PHS001,2038,0.0006
KENYA,PHS001,2039,0.0006
KENYA,PHS001,2040,0.0011
KENYA,PHS001,2041,0.0011
KENYA,PHS001,2042,0.0011
KENYA,PHS001,2043,0.0011
KENYA,PHS001,2044,0.0011
KENYA,PHS001,2045,0.0011
KENYA,PHS001,2046,0.0011
KENYA,PHS001,2047,0.0011
KENYA,PHS001,2048,0.0011
KENYA,PHS001,2049,0.0011
KENYA,PHS001,2050,0.0011
KENYA,PHS002,2038,0.0007
KENYA,PHS002,2039,0.0007
KENYA,PHS002,2040,0.0016
KENYA,PHS002,2041,0.0016
KENYA,PHS002,2042,0.0016
KENYA,PHS002,2043,0.0016
KENYA,PHS002,2044,0.0016
KENYA,PHS002,2045,0.0016
KENYA,PHS002,2046,0.0016
KENYA,PHS002,2047,0.0016
KENYA,PHS002,2048,0.0016
KENYA,PHS002,2049,0.0016
KENYA,PHS002,2050,0.0016
