r,s,y,StorageUpperLimit
KENYA,BESS001,2019,0.274
KENYA,BESS001,2020,0.274
KENYA,BESS001,2021,0.274
KENYA,BESS001,2022,0.274
KENYA,BESS001,2023,0.274
KENYA,BESS001,2024,0.274
KENYA,BESS001,2025,0.274
KENYA,BESS001,2026,1.4002
KENYA,BESS001,2027,1.564
KENYA,BESS001,2028,1.5739
KENYA,BESS001,2029,1.7852
KENYA,BESS001,2030,2.3224
KENYA,BESS001,2031,2.3224
KENYA,BESS001,2032,2.7082
KENYA,BESS001,2033,2.898
KENYA,BESS001,2034,3.727
KENYA,BESS001,2035,4.2835
KENYA,BESS001,2036,3.1573
KENYA,BESS001,2037,2.9935
KENYA,BESS001,2038,3.6272
KENYA,BESS001,2039,3.1418
KENYA,BESS001,2040,3.3342
KENYA,BESS001,2041,3.3342
KENYA,BESS001,2042,3.8704
KENYA,BESS001,2043,7.2634
KENYA,BESS001,2044,9.4721
KENYA,BESS001,2045,12.3537
KENYA,BESS001,2046,13.9381
KENYA,BESS001,2047,17.0542
KENYA,BESS001,2048,16.4107
KENYA,BESS001,2049,16.4107
KENYA,BESS001,2050,15.6811
KENYA,PHS001,2037,0.0003
KENYA,PHS001,2038,0.0013
KENYA,PHS001,2039,0.0013
KENYA,PHS001,2040,0.0022
KENYA,PHS001,2041,0.0022
KENYA,PHS001,2042,0.0022
KENYA,PHS001,2043,0.0022
KENYA,PHS001,2044,0.0022
KENYA,PHS001,2045,0.0022
KENYA,PHS001,2046,0.0022
KENYA,PHS001,2047,0.0022
KENYA,PHS001,2048,0.0022
KENYA,PHS001,2049,0.0022
KENYA,PHS001,2050,0.0022
KENYA,PHS002,2038,0.0013
KENYA,PHS002,2039,0.0013
KENYA,PHS002,2040,0.0032
KENYA,PHS002,2041,0.0032
KENYA,PHS002,2042,0.0032
KENYA,PHS002,2043,0.0032
KENYA,PHS002,2044,0.0032
KENYA,PHS002,2045,0.0032
KENYA,PHS002,2046,0.0032
KENYA,PHS002,2047,0.0032
KENYA,PHS002,2048,0.0032
KENYA,PHS002,2049,0.0032
KENYA,PHS002,2050,0.0032
