r,s,y,AccumulatedNewStorageCapacity
KENYA,BESS001,2019,0.274
KENYA,BESS001,2020,0.274
KENYA,BESS001,2021,0.274
KENYA,BESS001,2022,0.274
KENYA,BESS001,2023,0.274
KENYA,BESS001,2024,0.274
KENYA,BESS001,2025,0.274
KENYA,BESS001,2026,1.345
KENYA,BESS001,2027,1.345
KENYA,BESS001,2028,1.5739
KENYA,BESS001,2029,1.7852
KENYA,BESS001,2030,2.3224
KENYA,BESS001,2031,2.3224
KENYA,BESS001,2032,2.7082
KENYA,BESS001,2033,2.8978
KENYA,BESS001,2034,3.727
KENYA,BESS001,2035,4.2835
KENYA,BESS001,2036,3.2125
KENYA,BESS001,2037,3.2125
KENYA,BESS001,2038,3.0522
KENYA,BESS001,2039,3.0045
KENYA,BESS001,2040,2.5846
KENYA,BESS001,2041,3.9612
KENYA,BESS001,2042,7.3797
KENYA,BESS001,2043,12.1208
KENYA,BESS001,2044,16.0779
KENYA,BESS001,2045,18.774
KENYA,BESS001,2046,19.5095
KENYA,BESS001,2047,20.8537
KENYA,BESS001,2048,23.8826
KENYA,BESS001,2049,23.4449
KENYA,BESS001,2050,23.3276
KENYA,PHS001,2037,0.0006
KENYA,PHS001,2038,0.001
KENYA,PHS001,2039,0.001
KENYA,PHS001,2040,0.0026
KENYA,PHS001,2041,0.0026
KENYA,PHS001,2042,0.0026
KENYA,PHS001,2043,0.0032
KENYA,PHS001,2044,0.0054
KENYA,PHS001,2045,0.0064
KENYA,PHS001,2046,0.0064
KENYA,PHS001,2047,0.0064
KENYA,PHS001,2048,0.0089
KENYA,PHS001,2049,0.0129
KENYA,PHS001,2050,0.0156
KENYA,PHS002,2038,0.0013
KENYA,PHS002,2039,0.0016
KENYA,PHS002,2040,0.0032
KENYA,PHS002,2041,0.0032
KENYA,PHS002,2042,0.0032
KENYA,PHS002,2043,0.0032
KENYA,PHS002,2044,0.0041
KENYA,PHS002,2045,0.0055
KENYA,PHS002,2046,0.0055
KENYA,PHS002,2047,0.0064
KENYA,PHS002,2048,0.0122
KENYA,PHS002,2049,0.0129
KENYA,PHS002,2050,0.0133
