r,e,y,AnnualEmissions
KENYA,CO2,2019,1.081
KENYA,CO2,2020,1.2289
KENYA,CO2,2021,1.2411
KENYA,CO2,2022,0.3572
KENYA,CO2,2023,0.3738
KENYA,CO2,2024,0.5289
KENYA,CO2,2025,0.4086
KENYA,CO2,2026,0.1181
KENYA,CO2,2027,0.3894
KENYA,CO2,2028,0.506
KENYA,CO2,2029,0.5138
KENYA,CO2,2030,0.8624
KENYA,CO2,2031,0.9941
KENYA,CO2,2032,1.6752
KENYA,CO2,2033,2.334
KENYA,CO2,2034,2.6534
KENYA,CO2,2035,3.6784
KENYA,CO2,2036,2.3256
KENYA,CO2,2037,2.9875
KENYA,CO2,2038,4.5817
KENYA,CO2,2039,3.2491
KENYA,CO2,2040,2.5559
KENYA,CO2,2041,3.7735
KENYA,CO2,2042,3.7843
KENYA,CO2,2043,4.1522
KENYA,CO2,2044,4.3574
KENYA,CO2,2045,4.8443
KENYA,CO2,2046,4.9728
KENYA,CO2,2047,5.1398
KENYA,CO2,2048,5.0185
KENYA,CO2,2049,4.6754
KENYA,CO2,2050,4.2473
