r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS01,2028,1.3672
KENYA,BESS_TECH,TS01,2029,0.8479
KENYA,BESS_TECH,TS01,2031,1.1402
KENYA,BESS_TECH,TS01,2034,1.2347
KENYA,BESS_TECH,TS01,2035,5.1309
KENYA,BESS_TECH,TS01,2036,4.29
KENYA,BESS_TECH,TS01,2037,0.1081
KENYA,BESS_TECH,TS01,2039,5.9398
KENYA,BESS_TECH,TS01,2040,0.0638
KENYA,BESS_TECH,TS01,2042,3.903
KENYA,BESS_TECH,TS01,2043,20.2184
KENYA,BESS_TECH,TS01,2044,23.1115
KENYA,BESS_TECH,TS01,2045,30.0617
KENYA,BESS_TECH,TS01,2046,31.124
KENYA,BESS_TECH,TS01,2047,34.6652
KENYA,BESS_TECH,TS01,2048,43.4502
KENYA,BESS_TECH,TS01,2049,48.4959
KENYA,BESS_TECH,TS01,2050,48.9799
KENYA,BESS_TECH,TS02,2025,0.6231
KENYA,BESS_TECH,TS02,2027,1.5791
KENYA,BESS_TECH,TS02,2031,1.0002
KENYA,BESS_TECH,TS02,2032,2.4796
KENYA,BESS_TECH,TS02,2040,3.7716
KENYA,BESS_TECH,TS02,2041,10.1959
KENYA,BESS_TECH,TS02,2042,9.3561
KENYA,BESS_TECH,TS02,2043,24.4132
KENYA,BESS_TECH,TS02,2044,30.473
KENYA,BESS_TECH,TS02,2045,35.9746
KENYA,BESS_TECH,TS02,2046,38.8075
KENYA,BESS_TECH,TS02,2047,16.979
KENYA,BESS_TECH,TS02,2048,48.4959
KENYA,BESS_TECH,TS02,2049,48.4959
KENYA,BESS_TECH,TS02,2050,48.9799
KENYA,BESS_TECH,TS03,2025,0.3207
KENYA,BESS_TECH,TS03,2037,7.3488
KENYA,BESS_TECH,TS03,2038,6.2524
KENYA,BESS_TECH,TS03,2039,0.0873
KENYA,BESS_TECH,TS03,2041,5.2062
KENYA,BESS_TECH,TS03,2042,14.7295
KENYA,BESS_TECH,TS03,2043,24.4132
KENYA,BESS_TECH,TS03,2044,30.473
KENYA,BESS_TECH,TS03,2045,35.9746
KENYA,BESS_TECH,TS03,2046,38.8075
KENYA,BESS_TECH,TS03,2047,44.5528
KENYA,BESS_TECH,TS03,2048,48.4959
KENYA,BESS_TECH,TS03,2049,48.4959
KENYA,BESS_TECH,TS03,2050,48.9799
KENYA,BESS_TECH,TS04,2025,0.6231
KENYA,BESS_TECH,TS04,2026,0.1849
KENYA,BESS_TECH,TS04,2027,0.3286
KENYA,BESS_TECH,TS04,2028,1.7325
KENYA,BESS_TECH,TS04,2029,1.006
KENYA,BESS_TECH,TS04,2030,0.0539
KENYA,BESS_TECH,TS04,2031,1.0
KENYA,BESS_TECH,TS04,2032,0.6294
KENYA,BESS_TECH,TS04,2033,1.8966
KENYA,BESS_TECH,TS04,2034,6.372
KENYA,BESS_TECH,TS04,2035,9.9686
KENYA,BESS_TECH,TS04,2036,8.3349
KENYA,BESS_TECH,TS04,2037,7.3488
KENYA,BESS_TECH,TS04,2038,5.5927
KENYA,BESS_TECH,TS04,2039,5.9398
KENYA,BESS_TECH,TS04,2040,3.7716
KENYA,BESS_TECH,TS04,2041,10.1959
KENYA,BESS_TECH,TS04,2042,14.7295
KENYA,BESS_TECH,TS04,2044,4.031
KENYA,BESS_TECH,TS04,2046,3.6999
KENYA,BESS_TECH,TS04,2049,9.0882
KENYA,BESS_TECH,TS04,2050,10.4977
KENYA,BESS_TECH,TS05,2025,0.6231
KENYA,BESS_TECH,TS05,2026,1.3467
KENYA,BESS_TECH,TS05,2027,1.6772
KENYA,BESS_TECH,TS05,2028,0.577
KENYA,BESS_TECH,TS05,2029,0.4948
KENYA,BESS_TECH,TS05,2030,1.7028
KENYA,BESS_TECH,TS05,2031,2.8496
KENYA,BESS_TECH,TS05,2032,2.4068
KENYA,BESS_TECH,TS05,2033,3.4405
KENYA,BESS_TECH,TS05,2034,4.7834
KENYA,BESS_TECH,TS05,2035,9.9686
KENYA,BESS_TECH,TS05,2036,8.3349
KENYA,BESS_TECH,TS05,2037,7.3488
KENYA,BESS_TECH,TS05,2038,7.2999
KENYA,BESS_TECH,TS05,2039,5.9398
KENYA,BESS_TECH,TS05,2040,3.7716
KENYA,BESS_TECH,TS05,2041,10.1959
KENYA,BESS_TECH,TS05,2042,14.7295
KENYA,BESS_TECH,TS05,2043,23.0921
KENYA,BESS_TECH,TS05,2044,30.473
KENYA,BESS_TECH,TS05,2045,34.6628
KENYA,BESS_TECH,TS05,2046,38.8075
KENYA,BESS_TECH,TS05,2047,21.4928
KENYA,BESS_TECH,TS05,2048,40.1392
KENYA,BESS_TECH,TS05,2049,1.6942
KENYA,BESS_TECH,TS05,2050,48.9799
KENYA,BESS_TECH,TS06,2026,1.1611
KENYA,BESS_TECH,TS06,2030,1.2248
KENYA,BESS_TECH,TS06,2033,4.8934
KENYA,BESS_TECH,TS06,2034,9.3874
KENYA,BESS_TECH,TS06,2035,9.9686
KENYA,BESS_TECH,TS06,2036,8.3349
KENYA,BESS_TECH,TS06,2040,3.755
KENYA,BESS_TECH,TS06,2041,0.0833
KENYA,BESS_TECH,TS06,2042,1.1168
KENYA,BESS_TECH,TS06,2043,17.1817
KENYA,BESS_TECH,TS06,2044,19.1282
KENYA,BESS_TECH,TS06,2045,24.3521
KENYA,BESS_TECH,TS06,2046,22.9166
KENYA,BESS_TECH,TS06,2047,22.2149
KENYA,BESS_TECH,TS06,2048,31.4341
KENYA,BESS_TECH,TS06,2049,35.0539
KENYA,BESS_TECH,TS06,2050,30.0492
KENYA,BESS_TECH,TS07,2026,2.1816
KENYA,BESS_TECH,TS07,2027,1.4532
KENYA,BESS_TECH,TS07,2028,2.5724
KENYA,BESS_TECH,TS07,2030,3.4887
KENYA,BESS_TECH,TS07,2031,4.9512
KENYA,BESS_TECH,TS07,2032,1.6215
KENYA,BESS_TECH,TS07,2033,2.9514
KENYA,BESS_TECH,TS07,2034,1.5512
KENYA,BESS_TECH,TS07,2035,2.7442
KENYA,BESS_TECH,TS07,2036,1.2412
KENYA,BESS_TECH,TS07,2037,1.6089
KENYA,BESS_TECH,TS07,2039,2.009
KENYA,BESS_TECH,TS07,2040,3.517
KENYA,BESS_TECH,TS07,2041,3.4486
KENYA,BESS_TECH,TS07,2042,14.7295
KENYA,BESS_TECH,TS07,2043,24.4132
KENYA,BESS_TECH,TS07,2044,30.473
KENYA,BESS_TECH,TS07,2045,35.9746
KENYA,BESS_TECH,TS07,2046,38.8075
KENYA,BESS_TECH,TS07,2047,44.5528
KENYA,BESS_TECH,TS07,2048,48.4959
KENYA,BESS_TECH,TS07,2049,48.4959
KENYA,BESS_TECH,TS07,2050,48.9799
KENYA,BESS_TECH,TS08,2030,2.0525
KENYA,BESS_TECH,TS08,2031,2.42
KENYA,BESS_TECH,TS08,2035,0.8357
KENYA,BESS_TECH,TS08,2042,11.4624
KENYA,BESS_TECH,TS08,2043,24.4132
KENYA,BESS_TECH,TS08,2044,30.473
KENYA,BESS_TECH,TS08,2045,35.9746
KENYA,BESS_TECH,TS08,2046,38.8075
KENYA,BESS_TECH,TS08,2047,44.5528
KENYA,BESS_TECH,TS08,2048,48.4959
KENYA,BESS_TECH,TS08,2049,48.4959
KENYA,BESS_TECH,TS08,2050,48.9799
KENYA,BESS_TECH,TS09,2025,0.2107
KENYA,BESS_TECH,TS09,2028,0.0884
KENYA,BESS_TECH,TS09,2030,1.2729
KENYA,BESS_TECH,TS09,2031,1.4309
KENYA,BESS_TECH,TS09,2032,1.8318
KENYA,BESS_TECH,TS09,2033,0.0904
KENYA,BESS_TECH,TS09,2034,0.1345
KENYA,BESS_TECH,TS09,2035,1.0738
KENYA,BESS_TECH,TS09,2038,7.2999
KENYA,BESS_TECH,TS09,2040,1.2919
KENYA,BESS_TECH,TS09,2042,13.2194
KENYA,BESS_TECH,TS09,2043,24.4132
KENYA,BESS_TECH,TS09,2044,30.473
KENYA,BESS_TECH,TS09,2045,35.9746
KENYA,BESS_TECH,TS09,2046,38.8075
KENYA,BESS_TECH,TS09,2047,44.5528
KENYA,BESS_TECH,TS09,2048,48.4959
KENYA,BESS_TECH,TS09,2049,48.4959
KENYA,BESS_TECH,TS09,2050,48.9799
KENYA,BESS_TECH,TS10,2025,0.6231
KENYA,BESS_TECH,TS10,2026,2.2568
KENYA,BESS_TECH,TS10,2027,1.2199
KENYA,BESS_TECH,TS10,2028,1.7322
KENYA,BESS_TECH,TS10,2029,2.5178
KENYA,BESS_TECH,TS10,2030,2.5651
KENYA,BESS_TECH,TS10,2031,2.3578
KENYA,BESS_TECH,TS10,2032,3.5984
KENYA,BESS_TECH,TS10,2033,1.9033
KENYA,BESS_TECH,TS10,2034,1.2792
KENYA,BESS_TECH,TS10,2035,0.0418
KENYA,BESS_TECH,TS10,2036,2.3326
KENYA,BESS_TECH,TS10,2037,6.0529
KENYA,BESS_TECH,TS10,2038,7.2999
KENYA,BESS_TECH,TS10,2039,5.9398
KENYA,BESS_TECH,TS10,2040,3.7716
KENYA,BESS_TECH,TS10,2041,10.1959
KENYA,BESS_TECH,TS10,2042,12.0118
KENYA,BESS_TECH,TS10,2043,12.2066
KENYA,BESS_TECH,TS10,2044,14.1838
KENYA,BESS_TECH,TS10,2045,15.4024
KENYA,BESS_TECH,TS10,2046,16.7185
KENYA,BESS_TECH,TS10,2047,18.1381
KENYA,BESS_TECH,TS10,2048,19.6733
KENYA,BESS_TECH,TS10,2049,21.3314
KENYA,BESS_TECH,TS10,2050,23.6124
KENYA,BESS_TECH,TS11,2025,0.6231
KENYA,BESS_TECH,TS11,2026,1.9364
KENYA,BESS_TECH,TS11,2027,1.8567
KENYA,BESS_TECH,TS11,2028,4.4024
KENYA,BESS_TECH,TS11,2029,4.6668
KENYA,BESS_TECH,TS11,2030,2.8802
KENYA,BESS_TECH,TS11,2031,2.1147
KENYA,BESS_TECH,TS11,2032,3.0131
KENYA,BESS_TECH,TS11,2033,8.8539
KENYA,BESS_TECH,TS11,2034,10.5917
KENYA,BESS_TECH,TS11,2035,9.9686
KENYA,BESS_TECH,TS11,2036,8.3349
KENYA,BESS_TECH,TS11,2037,7.3488
KENYA,BESS_TECH,TS11,2038,7.2999
KENYA,BESS_TECH,TS11,2039,5.9398
KENYA,BESS_TECH,TS11,2040,3.7716
KENYA,BESS_TECH,TS11,2041,10.1959
KENYA,BESS_TECH,TS11,2042,14.7295
KENYA,BESS_TECH,TS11,2043,24.4132
KENYA,BESS_TECH,TS11,2044,30.473
KENYA,BESS_TECH,TS11,2045,33.7465
KENYA,BESS_TECH,TS11,2046,38.8075
KENYA,BESS_TECH,TS11,2047,44.5528
KENYA,BESS_TECH,TS11,2048,48.4959
KENYA,BESS_TECH,TS11,2049,47.3535
KENYA,BESS_TECH,TS11,2050,48.9799
KENYA,BESS_TECH,TS12,2029,6.5635
KENYA,BESS_TECH,TS12,2030,3.0396
KENYA,BESS_TECH,TS12,2033,2.4809
KENYA,BESS_TECH,TS12,2034,5.5244
KENYA,BESS_TECH,TS12,2038,0.2147
KENYA,BESS_TECH,TS12,2040,1.8988
KENYA,BESS_TECH,TS12,2042,14.7295
KENYA,BESS_TECH,TS12,2043,24.4132
KENYA,BESS_TECH,TS12,2044,29.0488
KENYA,BESS_TECH,TS12,2045,33.9846
KENYA,BESS_TECH,TS12,2046,35.1745
KENYA,BESS_TECH,TS12,2047,38.9539
KENYA,BESS_TECH,TS12,2048,42.3067
KENYA,BESS_TECH,TS12,2049,45.3228
KENYA,BESS_TECH,TS12,2050,47.7926
KENYA,BESS_TECH,TS13,2027,1.712
KENYA,BESS_TECH,TS13,2028,0.1942
KENYA,BESS_TECH,TS13,2029,1.0327
KENYA,BESS_TECH,TS13,2030,1.5768
KENYA,BESS_TECH,TS13,2032,1.9845
KENYA,BESS_TECH,TS13,2033,0.717
KENYA,BESS_TECH,TS13,2034,9.6969
KENYA,BESS_TECH,TS13,2035,1.6423
KENYA,BESS_TECH,TS13,2036,1.5467
KENYA,BESS_TECH,TS13,2037,7.3488
KENYA,BESS_TECH,TS13,2039,5.9398
KENYA,BESS_TECH,TS13,2042,0.3571
KENYA,BESS_TECH,TS13,2043,16.429
KENYA,BESS_TECH,TS13,2044,19.1534
KENYA,BESS_TECH,TS13,2045,20.8306
KENYA,BESS_TECH,TS13,2046,23.2068
KENYA,BESS_TECH,TS13,2047,28.8151
KENYA,BESS_TECH,TS13,2048,21.6547
KENYA,BESS_TECH,TS13,2049,30.4001
KENYA,BESS_TECH,TS13,2050,30.1871
KENYA,BESS_TECH,TS14,2030,0.494
KENYA,BESS_TECH,TS14,2031,0.6338
KENYA,BESS_TECH,TS14,2035,0.3926
KENYA,BESS_TECH,TS14,2040,3.7716
KENYA,BESS_TECH,TS14,2041,7.7168
KENYA,BESS_TECH,TS14,2042,14.7295
KENYA,BESS_TECH,TS14,2043,24.4132
KENYA,BESS_TECH,TS14,2044,28.8417
KENYA,BESS_TECH,TS14,2045,35.9746
KENYA,BESS_TECH,TS14,2046,38.8075
KENYA,BESS_TECH,TS14,2047,41.0136
KENYA,BESS_TECH,TS14,2048,38.4335
KENYA,BESS_TECH,TS14,2049,38.1162
KENYA,BESS_TECH,TS14,2050,40.229
KENYA,BESS_TECH,TS15,2033,2.4761
KENYA,BESS_TECH,TS15,2035,7.2791
KENYA,BESS_TECH,TS15,2036,2.7433
KENYA,BESS_TECH,TS15,2038,0.3925
KENYA,BESS_TECH,TS15,2040,1.9413
KENYA,BESS_TECH,TS15,2041,6.4875
KENYA,BESS_TECH,TS15,2042,9.6363
KENYA,BESS_TECH,TS15,2043,24.4132
KENYA,BESS_TECH,TS15,2044,30.473
KENYA,BESS_TECH,TS15,2045,35.9746
KENYA,BESS_TECH,TS15,2046,38.8075
KENYA,BESS_TECH,TS15,2047,44.5528
KENYA,BESS_TECH,TS15,2048,48.4959
KENYA,BESS_TECH,TS15,2049,48.4959
KENYA,BESS_TECH,TS15,2050,48.9799
KENYA,BESS_TECH,TS16,2025,0.6231
KENYA,BESS_TECH,TS16,2026,0.9935
KENYA,BESS_TECH,TS16,2027,3.2428
KENYA,BESS_TECH,TS16,2028,0.9637
KENYA,BESS_TECH,TS16,2029,1.3173
KENYA,BESS_TECH,TS16,2030,4.4251
KENYA,BESS_TECH,TS16,2031,3.8885
KENYA,BESS_TECH,TS16,2032,4.6737
KENYA,BESS_TECH,TS16,2033,3.981
KENYA,BESS_TECH,TS16,2034,10.5917
KENYA,BESS_TECH,TS16,2035,9.9686
KENYA,BESS_TECH,TS16,2036,8.3349
KENYA,BESS_TECH,TS16,2037,7.3488
KENYA,BESS_TECH,TS16,2038,2.3259
KENYA,BESS_TECH,TS16,2039,5.9398
KENYA,BESS_TECH,TS16,2040,3.7716
KENYA,BESS_TECH,TS16,2041,10.1959
KENYA,BESS_TECH,TS16,2042,14.7295
KENYA,BESS_TECH,TS16,2043,2.2033
KENYA,BESS_TECH,TS16,2044,4.5786
KENYA,BESS_TECH,TS16,2045,7.1589
KENYA,BESS_TECH,TS16,2046,7.7529
KENYA,BESS_TECH,TS16,2047,12.289
KENYA,BESS_TECH,TS16,2048,15.5348
KENYA,BESS_TECH,TS16,2049,9.705
KENYA,BESS_TECH,TS16,2050,4.129
KENYA,BESS_TECH,TS17,2025,0.5992
KENYA,BESS_TECH,TS17,2026,0.8444
KENYA,BESS_TECH,TS17,2027,1.4242
KENYA,BESS_TECH,TS17,2028,0.7123
KENYA,BESS_TECH,TS17,2029,0.4184
KENYA,BESS_TECH,TS17,2030,2.3966
KENYA,BESS_TECH,TS17,2031,3.654
KENYA,BESS_TECH,TS17,2032,3.4802
KENYA,BESS_TECH,TS17,2033,1.4786
KENYA,BESS_TECH,TS17,2034,9.4253
KENYA,BESS_TECH,TS17,2035,9.9686
KENYA,BESS_TECH,TS17,2036,8.3349
KENYA,BESS_TECH,TS17,2037,7.3488
KENYA,BESS_TECH,TS17,2038,7.2999
KENYA,BESS_TECH,TS17,2039,5.9398
KENYA,BESS_TECH,TS17,2040,3.7716
KENYA,BESS_TECH,TS17,2041,10.1959
KENYA,BESS_TECH,TS17,2042,14.7295
KENYA,BESS_TECH,TS17,2043,24.4132
KENYA,BESS_TECH,TS17,2044,30.473
KENYA,BESS_TECH,TS17,2045,35.9746
KENYA,BESS_TECH,TS17,2046,38.8075
KENYA,BESS_TECH,TS17,2047,44.5528
KENYA,BESS_TECH,TS17,2048,48.4959
KENYA,BESS_TECH,TS17,2049,48.4959
KENYA,BESS_TECH,TS17,2050,48.9799
KENYA,BESS_TECH,TS18,2025,0.4376
KENYA,BESS_TECH,TS18,2026,0.7729
KENYA,BESS_TECH,TS18,2028,1.3973
KENYA,BESS_TECH,TS18,2030,1.706
KENYA,BESS_TECH,TS18,2031,3.4229
KENYA,BESS_TECH,TS18,2034,1.3122
KENYA,BESS_TECH,TS18,2035,1.9949
KENYA,BESS_TECH,TS18,2036,8.3349
KENYA,BESS_TECH,TS18,2037,0.2161
KENYA,BESS_TECH,TS18,2038,7.2999
KENYA,BESS_TECH,TS18,2039,0.1747
KENYA,BESS_TECH,TS18,2042,3.3957
KENYA,BESS_TECH,TS18,2043,20.8859
KENYA,BESS_TECH,TS18,2044,24.6722
KENYA,BESS_TECH,TS18,2045,32.2412
KENYA,BESS_TECH,TS18,2046,33.2677
KENYA,BESS_TECH,TS18,2047,25.724
KENYA,BESS_TECH,TS18,2048,38.2922
KENYA,BESS_TECH,TS18,2049,28.3714
KENYA,BESS_TECH,TS18,2050,39.0948
KENYA,BESS_TECH,TS19,2025,0.4492
KENYA,BESS_TECH,TS19,2026,1.8059
KENYA,BESS_TECH,TS19,2027,1.7133
KENYA,BESS_TECH,TS19,2028,1.7629
KENYA,BESS_TECH,TS19,2029,7.4984
KENYA,BESS_TECH,TS19,2030,1.6498
KENYA,BESS_TECH,TS19,2031,8.2937
KENYA,BESS_TECH,TS19,2032,6.6883
KENYA,BESS_TECH,TS19,2033,10.5917
KENYA,BESS_TECH,TS19,2034,10.5917
KENYA,BESS_TECH,TS19,2035,9.9686
KENYA,BESS_TECH,TS19,2036,8.3349
KENYA,BESS_TECH,TS19,2037,7.3488
KENYA,BESS_TECH,TS19,2038,7.2999
KENYA,BESS_TECH,TS19,2039,5.9398
KENYA,BESS_TECH,TS19,2040,3.7716
KENYA,BESS_TECH,TS19,2041,10.1959
KENYA,BESS_TECH,TS19,2042,14.7295
KENYA,BESS_TECH,TS19,2043,24.4132
KENYA,BESS_TECH,TS19,2044,30.473
KENYA,BESS_TECH,TS19,2045,25.7417
KENYA,BESS_TECH,TS19,2046,26.7568
