r,s,ls,ld,y,StorageLevelDayTypeFinish
KENYA,BESS001,1,1,2025,0.0004
KENYA,BESS001,1,1,2026,0.0004
KENYA,BESS001,1,1,2027,0.0005
KENYA,BESS001,1,1,2030,0.0004
KENYA,BESS001,1,1,2031,0.0011
KENYA,BESS001,1,1,2032,0.0008
KENYA,BESS001,1,1,2033,0.0017
KENYA,BESS001,1,1,2034,0.0032
KENYA,BESS001,1,1,2035,0.0034
KENYA,BESS001,1,1,2036,0.0028
KENYA,BESS001,1,1,2037,0.005
KENYA,BESS001,1,1,2038,0.0043
KENYA,BESS001,1,1,2039,0.0001
KENYA,BESS001,1,1,2040,0.0026
KENYA,BESS001,1,1,2041,0.007
KENYA,BESS001,1,1,2042,0.0132
KENYA,BESS001,1,1,2043,0.0249
KENYA,BESS001,1,1,2044,0.0311
KENYA,BESS001,1,1,2045,0.0367
KENYA,BESS001,1,1,2046,0.0396
KENYA,BESS001,1,1,2047,0.0361
KENYA,BESS001,1,1,2048,0.0495
KENYA,BESS001,1,1,2049,0.0495
KENYA,BESS001,1,1,2050,0.0548
KENYA,BESS001,1,2,2025,0.0003
KENYA,BESS001,1,2,2028,0.0001
KENYA,BESS001,1,2,2029,0.0022
KENYA,BESS001,1,2,2030,0.001
KENYA,BESS001,1,2,2032,0.0012
KENYA,BESS001,1,2,2033,0.0009
KENYA,BESS001,1,2,2034,0.002
KENYA,BESS001,1,2,2035,0.0007
KENYA,BESS001,1,2,2036,0.0011
KENYA,BESS001,1,2,2037,0.0028
KENYA,BESS001,1,2,2038,0.005
KENYA,BESS001,1,2,2039,0.0027
KENYA,BESS001,1,2,2040,0.0033
KENYA,BESS001,1,2,2041,0.0047
KENYA,BESS001,1,2,2042,0.0184
KENYA,BESS001,1,2,2043,0.0305
KENYA,BESS001,1,2,2044,0.0376
KENYA,BESS001,1,2,2045,0.0438
KENYA,BESS001,1,2,2046,0.0473
KENYA,BESS001,1,2,2047,0.0538
KENYA,BESS001,1,2,2048,0.0585
KENYA,BESS001,1,2,2049,0.0593
KENYA,BESS001,1,2,2050,0.0608
KENYA,BESS001,2,1,2025,0.0003
KENYA,BESS001,2,1,2026,0.0005
KENYA,BESS001,2,1,2027,0.0003
KENYA,BESS001,2,1,2028,0.0005
KENYA,BESS001,2,1,2030,0.0011
KENYA,BESS001,2,1,2031,0.002
KENYA,BESS001,2,1,2032,0.0008
KENYA,BESS001,2,1,2033,0.0017
KENYA,BESS001,2,1,2034,0.0004
KENYA,BESS001,2,1,2035,0.0058
KENYA,BESS001,2,1,2036,0.0047
KENYA,BESS001,2,1,2037,0.0001
KENYA,BESS001,2,1,2038,0.0027
KENYA,BESS001,2,1,2039,0.0001
KENYA,BESS001,2,1,2040,0.0026
KENYA,BESS001,2,1,2041,0.007
KENYA,BESS001,2,1,2042,0.0116
KENYA,BESS001,2,1,2043,0.0249
KENYA,BESS001,2,1,2044,0.0305
KENYA,BESS001,2,1,2045,0.0367
KENYA,BESS001,2,1,2046,0.0396
KENYA,BESS001,2,1,2047,0.0442
KENYA,BESS001,2,1,2048,0.046
KENYA,BESS001,2,1,2049,0.0459
KENYA,BESS001,2,1,2050,0.047
KENYA,BESS001,2,2,2025,0.0004
KENYA,BESS001,2,2,2026,0.0005
KENYA,BESS001,2,2,2027,0.0025
KENYA,BESS001,2,2,2028,0.0041
KENYA,BESS001,2,2,2029,0.0011
KENYA,BESS001,2,2,2030,0.0061
KENYA,BESS001,2,2,2031,0.0016
KENYA,BESS001,2,2,2032,0.0027
KENYA,BESS001,2,2,2033,0.0017
KENYA,BESS001,2,2,2034,0.0055
KENYA,BESS001,2,2,2035,0.0068
KENYA,BESS001,2,2,2036,0.0056
KENYA,BESS001,2,2,2037,0.005
KENYA,BESS001,2,2,2038,0.005
KENYA,BESS001,2,2,2039,0.004
KENYA,BESS001,2,2,2040,0.0026
KENYA,BESS001,2,2,2041,0.0069
KENYA,BESS001,2,2,2042,0.01
KENYA,BESS001,2,2,2043,0.0166
KENYA,BESS001,2,2,2044,0.0207
KENYA,BESS001,2,2,2045,0.0245
KENYA,BESS001,2,2,2046,0.0264
KENYA,BESS001,2,2,2047,0.0303
KENYA,BESS001,2,2,2048,0.033
KENYA,BESS001,2,2,2049,0.033
KENYA,BESS001,2,2,2050,0.0333
KENYA,BESS001,3,1,2025,0.0006
KENYA,BESS001,3,1,2026,0.0021
KENYA,BESS001,3,1,2027,0.003
KENYA,BESS001,3,1,2028,0.0045
KENYA,BESS001,3,1,2029,0.0055
KENYA,BESS001,3,1,2030,0.0051
KENYA,BESS001,3,1,2031,0.0052
KENYA,BESS001,3,1,2032,0.0088
KENYA,BESS001,3,1,2033,0.0093
KENYA,BESS001,3,1,2034,0.0089
KENYA,BESS001,3,1,2035,0.0084
KENYA,BESS001,3,1,2036,0.0064
KENYA,BESS001,3,1,2037,0.0067
KENYA,BESS001,3,1,2038,0.0065
KENYA,BESS001,3,1,2039,0.0074
KENYA,BESS001,3,1,2040,0.0026
KENYA,BESS001,3,1,2041,0.0069
KENYA,BESS001,3,1,2042,0.0117
KENYA,BESS001,3,1,2043,0.0128
KENYA,BESS001,3,1,2044,0.0215
KENYA,BESS001,3,1,2045,0.0254
KENYA,BESS001,3,1,2046,0.024
KENYA,BESS001,3,1,2047,0.0273
KENYA,BESS001,3,1,2048,0.0333
KENYA,BESS001,3,1,2049,0.021
KENYA,BESS001,3,1,2050,0.0273
KENYA,BESS001,3,2,2025,0.0004
KENYA,BESS001,3,2,2026,0.0015
KENYA,BESS001,3,2,2027,0.0013
KENYA,BESS001,3,2,2028,0.0021
KENYA,BESS001,3,2,2029,0.0025
KENYA,BESS001,3,2,2030,0.0036
KENYA,BESS001,3,2,2031,0.0036
KENYA,BESS001,3,2,2032,0.007
KENYA,BESS001,3,2,2033,0.0058
KENYA,BESS001,3,2,2034,0.0036
KENYA,BESS001,3,2,2035,0.0034
KENYA,BESS001,3,2,2036,0.0028
KENYA,BESS001,3,2,2037,0.0025
KENYA,BESS001,3,2,2038,0.0025
KENYA,BESS001,3,2,2039,0.002
KENYA,BESS001,3,2,2040,0.0026
KENYA,BESS001,3,2,2041,0.0069
KENYA,BESS001,3,2,2042,0.0134
KENYA,BESS001,3,2,2043,0.024
KENYA,BESS001,3,2,2044,0.0309
KENYA,BESS001,3,2,2045,0.0365
KENYA,BESS001,3,2,2046,0.0377
KENYA,BESS001,3,2,2047,0.0427
KENYA,BESS001,3,2,2048,0.0386
KENYA,BESS001,3,2,2049,0.0324
KENYA,BESS001,3,2,2050,0.0384
KENYA,BESS001,4,1,2025,0.0003
KENYA,BESS001,4,1,2026,0.0005
KENYA,BESS001,4,1,2027,0.0005
KENYA,BESS001,4,1,2028,0.0012
KENYA,BESS001,4,1,2029,0.0012
KENYA,BESS001,4,1,2030,0.0005
KENYA,BESS001,4,1,2031,0.0008
KENYA,BESS001,4,1,2032,0.0007
KENYA,BESS001,4,1,2033,0.001
KENYA,BESS001,4,1,2034,0.0043
KENYA,BESS001,4,1,2035,0.005
KENYA,BESS001,4,1,2036,0.0058
KENYA,BESS001,4,1,2037,0.0046
KENYA,BESS001,4,1,2038,0.0017
KENYA,BESS001,4,1,2039,0.0019
KENYA,BESS001,4,1,2040,0.0013
KENYA,BESS001,4,1,2041,0.0044
KENYA,BESS001,4,1,2042,0.0121
KENYA,BESS001,4,1,2043,0.0267
KENYA,BESS001,4,1,2044,0.0321
KENYA,BESS001,4,1,2045,0.0369
KENYA,BESS001,4,1,2046,0.0396
KENYA,BESS001,4,1,2047,0.0454
KENYA,BESS001,4,1,2048,0.0495
KENYA,BESS001,4,1,2049,0.0495
KENYA,BESS001,4,1,2050,0.0502
KENYA,BESS001,4,2,2025,0.0003
KENYA,BESS001,4,2,2026,0.001
KENYA,BESS001,4,2,2028,0.002
KENYA,BESS001,4,2,2029,0.0005
KENYA,BESS001,4,2,2030,0.0014
KENYA,BESS001,4,2,2033,0.0
KENYA,BESS001,4,2,2034,0.0022
KENYA,BESS001,4,2,2035,0.0023
KENYA,BESS001,4,2,2036,0.0027
KENYA,BESS001,4,2,2037,0.0017
KENYA,BESS001,4,2,2038,0.0024
KENYA,BESS001,4,2,2039,0.0027
KENYA,BESS001,4,2,2040,0.0026
KENYA,BESS001,4,2,2041,0.0048
KENYA,BESS001,4,2,2042,0.0149
KENYA,BESS001,4,2,2043,0.0249
KENYA,BESS001,4,2,2044,0.0319
KENYA,BESS001,4,2,2045,0.0381
KENYA,BESS001,4,2,2046,0.0402
KENYA,BESS001,4,2,2047,0.0454
KENYA,BESS001,4,2,2048,0.0495
KENYA,BESS001,4,2,2049,0.0495
KENYA,BESS001,4,2,2050,0.05
KENYA,PHS001,4,1,2037,0.0006
KENYA,PHS001,4,1,2038,0.001
KENYA,PHS001,4,1,2039,0.001
KENYA,PHS001,4,1,2040,0.0026
KENYA,PHS001,4,1,2041,0.0026
KENYA,PHS001,4,1,2042,0.0026
KENYA,PHS001,4,1,2043,0.0032
KENYA,PHS001,4,1,2044,0.0032
KENYA,PHS001,4,1,2045,0.0032
KENYA,PHS001,4,1,2046,0.0032
KENYA,PHS001,4,1,2047,0.0032
KENYA,PHS001,4,1,2048,0.0045
KENYA,PHS001,4,1,2049,0.0097
KENYA,PHS001,4,1,2050,0.0097
KENYA,PHS001,4,2,2037,0.0003
KENYA,PHS001,4,2,2038,0.0005
KENYA,PHS001,4,2,2039,0.0005
KENYA,PHS001,4,2,2040,0.0013
KENYA,PHS001,4,2,2041,0.0013
KENYA,PHS001,4,2,2042,0.0013
KENYA,PHS001,4,2,2043,0.0016
KENYA,PHS001,4,2,2044,0.0027
KENYA,PHS001,4,2,2045,0.0032
KENYA,PHS001,4,2,2046,0.0032
KENYA,PHS001,4,2,2047,0.0032
KENYA,PHS001,4,2,2048,0.0045
KENYA,PHS001,4,2,2049,0.0064
KENYA,PHS001,4,2,2050,0.0078
KENYA,PHS002,4,1,2038,0.0013
KENYA,PHS002,4,1,2039,0.0016
KENYA,PHS002,4,1,2040,0.0032
KENYA,PHS002,4,1,2041,0.0032
KENYA,PHS002,4,1,2042,0.0032
KENYA,PHS002,4,1,2043,0.0032
KENYA,PHS002,4,1,2044,0.0037
KENYA,PHS002,4,1,2045,0.004
KENYA,PHS002,4,1,2046,0.0032
KENYA,PHS002,4,1,2047,0.0032
KENYA,PHS002,4,1,2048,0.0079
KENYA,PHS002,4,1,2049,0.0097
KENYA,PHS002,4,1,2050,0.0097
KENYA,PHS002,4,2,2038,0.0006
KENYA,PHS002,4,2,2039,0.0008
KENYA,PHS002,4,2,2040,0.0016
KENYA,PHS002,4,2,2041,0.0016
KENYA,PHS002,4,2,2042,0.0016
KENYA,PHS002,4,2,2043,0.0016
KENYA,PHS002,4,2,2044,0.0021
KENYA,PHS002,4,2,2045,0.0028
KENYA,PHS002,4,2,2046,0.0028
KENYA,PHS002,4,2,2047,0.0032
KENYA,PHS002,4,2,2048,0.0061
KENYA,PHS002,4,2,2049,0.0064
KENYA,PHS002,4,2,2050,0.0067
