r,s,ls,y,StorageLevelSeasonStart
KENYA,BESS001,1,2019,0.137
KENYA,BESS001,1,2020,0.137
KENYA,BESS001,1,2021,0.137
KENYA,BESS001,1,2022,0.137
KENYA,BESS001,1,2023,0.137
KENYA,BESS001,1,2024,0.137
KENYA,BESS001,1,2025,0.137
KENYA,BESS001,1,2026,0.6725
KENYA,BESS001,1,2027,0.6725
KENYA,BESS001,1,2028,0.7869
KENYA,BESS001,1,2029,0.8926
KENYA,BESS001,1,2030,1.1612
KENYA,BESS001,1,2031,1.1612
KENYA,BESS001,1,2032,1.3541
KENYA,BESS001,1,2033,1.4489
KENYA,BESS001,1,2034,1.8635
KENYA,BESS001,1,2035,2.1417
KENYA,BESS001,1,2036,1.6063
KENYA,BESS001,1,2037,1.6063
KENYA,BESS001,1,2038,1.5261
KENYA,BESS001,1,2039,1.5022
KENYA,BESS001,1,2040,1.2923
KENYA,BESS001,1,2041,1.9806
KENYA,BESS001,1,2042,3.6899
KENYA,BESS001,1,2043,6.0604
KENYA,BESS001,1,2044,8.0389
KENYA,BESS001,1,2045,9.387
KENYA,BESS001,1,2046,9.7547
KENYA,BESS001,1,2047,10.4269
KENYA,BESS001,1,2048,11.9413
KENYA,BESS001,1,2049,11.7225
KENYA,BESS001,1,2050,11.6638
KENYA,BESS001,2,2019,0.137
KENYA,BESS001,2,2020,0.137
KENYA,BESS001,2,2021,0.137
KENYA,BESS001,2,2022,0.137
KENYA,BESS001,2,2023,0.137
KENYA,BESS001,2,2024,0.137
KENYA,BESS001,2,2025,0.1718
KENYA,BESS001,2,2026,0.7361
KENYA,BESS001,2,2027,0.7324
KENYA,BESS001,2,2028,0.8939
KENYA,BESS001,2,2029,0.9877
KENYA,BESS001,2,2030,1.276
KENYA,BESS001,2,2031,1.3197
KENYA,BESS001,2,2032,1.4688
KENYA,BESS001,2,2033,1.6306
KENYA,BESS001,2,2034,2.2026
KENYA,BESS001,2,2035,2.654
KENYA,BESS001,2,2036,2.0275
KENYA,BESS001,2,2037,2.0052
KENYA,BESS001,2,2038,1.9282
KENYA,BESS001,2,2039,1.8369
KENYA,BESS001,2,2040,1.5443
KENYA,BESS001,2,2041,2.5551
KENYA,BESS001,2,2042,5.0179
KENYA,BESS001,2,2043,8.459
KENYA,BESS001,2,2044,11.0206
KENYA,BESS001,2,2045,12.8913
KENYA,BESS001,2,2046,13.5362
KENYA,BESS001,2,2047,14.1491
KENYA,BESS001,2,2048,16.6525
KENYA,BESS001,2,2049,16.4531
KENYA,BESS001,2,2050,16.7745
KENYA,BESS001,3,2019,0.137
KENYA,BESS001,3,2020,0.137
KENYA,BESS001,3,2021,0.137
KENYA,BESS001,3,2022,0.137
KENYA,BESS001,3,2023,0.137
KENYA,BESS001,3,2024,0.137
KENYA,BESS001,3,2025,0.197
KENYA,BESS001,3,2026,0.7866
KENYA,BESS001,3,2027,0.8623
KENYA,BESS001,3,2028,1.0128
KENYA,BESS001,3,2029,1.1264
KENYA,BESS001,3,2030,1.4982
KENYA,BESS001,3,2031,1.5344
KENYA,BESS001,3,2032,1.6885
KENYA,BESS001,3,2033,1.8821
KENYA,BESS001,3,2034,2.7341
KENYA,BESS001,3,2035,3.1927
KENYA,BESS001,3,2036,2.4765
KENYA,BESS001,3,2037,2.4023
KENYA,BESS001,3,2038,2.2224
KENYA,BESS001,3,2039,2.1579
KENYA,BESS001,3,2040,1.7481
KENYA,BESS001,3,2041,3.1061
KENYA,BESS001,3,2042,5.875
KENYA,BESS001,3,2043,10.1313
KENYA,BESS001,3,2044,13.0837
KENYA,BESS001,3,2045,15.2337
KENYA,BESS001,3,2046,16.0511
KENYA,BESS001,3,2047,16.9276
KENYA,BESS001,3,2048,19.5693
KENYA,BESS001,3,2049,19.3966
KENYA,BESS001,3,2050,19.5391
KENYA,BESS001,4,2019,0.137
KENYA,BESS001,4,2020,0.137
KENYA,BESS001,4,2021,0.137
KENYA,BESS001,4,2022,0.137
KENYA,BESS001,4,2023,0.137
KENYA,BESS001,4,2024,0.137
KENYA,BESS001,4,2025,0.2739
KENYA,BESS001,4,2026,1.0197
KENYA,BESS001,4,2027,1.2079
KENYA,BESS001,4,2028,1.5727
KENYA,BESS001,4,2029,1.7829
KENYA,BESS001,4,2030,2.2197
KENYA,BESS001,4,2031,2.3212
KENYA,BESS001,4,2032,2.7065
KENYA,BESS001,4,2033,2.8958
KENYA,BESS001,4,2034,3.7227
KENYA,BESS001,4,2035,4.2785
KENYA,BESS001,4,2036,3.1823
KENYA,BESS001,4,2037,3.208
KENYA,BESS001,4,2038,3.0505
KENYA,BESS001,4,2039,3.0018
KENYA,BESS001,4,2040,2.0626
KENYA,BESS001,4,2041,3.9564
KENYA,BESS001,4,2042,7.3648
KENYA,BESS001,4,2043,12.0941
KENYA,BESS001,4,2044,16.0458
KENYA,BESS001,4,2045,18.7359
KENYA,BESS001,4,2046,19.4693
KENYA,BESS001,4,2047,20.8083
KENYA,BESS001,4,2048,23.8331
KENYA,BESS001,4,2049,22.3616
KENYA,BESS001,4,2050,23.2774
KENYA,PHS001,1,2037,0.0003
KENYA,PHS001,1,2038,0.0005
KENYA,PHS001,1,2039,0.0005
KENYA,PHS001,1,2040,0.0013
KENYA,PHS001,1,2041,0.0013
KENYA,PHS001,1,2042,0.0013
KENYA,PHS001,1,2043,0.0016
KENYA,PHS001,1,2044,0.0027
KENYA,PHS001,1,2045,0.0032
KENYA,PHS001,1,2046,0.0032
KENYA,PHS001,1,2047,0.0032
KENYA,PHS001,1,2048,0.0045
KENYA,PHS001,1,2049,0.0064
KENYA,PHS001,1,2050,0.0078
KENYA,PHS001,2,2037,0.0003
KENYA,PHS001,2,2038,0.0005
KENYA,PHS001,2,2039,0.0005
KENYA,PHS001,2,2040,0.0013
KENYA,PHS001,2,2041,0.0013
KENYA,PHS001,2,2042,0.0013
KENYA,PHS001,2,2043,0.0016
KENYA,PHS001,2,2044,0.0027
KENYA,PHS001,2,2045,0.0032
KENYA,PHS001,2,2046,0.0032
KENYA,PHS001,2,2047,0.0032
KENYA,PHS001,2,2048,0.0045
KENYA,PHS001,2,2049,0.0064
KENYA,PHS001,2,2050,0.0078
KENYA,PHS001,3,2037,0.0003
KENYA,PHS001,3,2038,0.0005
KENYA,PHS001,3,2039,0.0005
KENYA,PHS001,3,2040,0.0013
KENYA,PHS001,3,2041,0.0013
KENYA,PHS001,3,2042,0.0013
KENYA,PHS001,3,2043,0.0016
KENYA,PHS001,3,2044,0.0027
KENYA,PHS001,3,2045,0.0032
KENYA,PHS001,3,2046,0.0032
KENYA,PHS001,3,2047,0.0032
KENYA,PHS001,3,2048,0.0045
KENYA,PHS001,3,2049,0.0064
KENYA,PHS001,3,2050,0.0078
KENYA,PHS001,4,2037,0.0003
KENYA,PHS001,4,2038,0.0005
KENYA,PHS001,4,2039,0.0005
KENYA,PHS001,4,2040,0.0013
KENYA,PHS001,4,2041,0.0013
KENYA,PHS001,4,2042,0.0013
KENYA,PHS001,4,2043,0.0016
KENYA,PHS001,4,2044,0.0027
KENYA,PHS001,4,2045,0.0032
KENYA,PHS001,4,2046,0.0032
KENYA,PHS001,4,2047,0.0032
KENYA,PHS001,4,2048,0.0045
KENYA,PHS001,4,2049,0.0064
KENYA,PHS001,4,2050,0.0078
KENYA,PHS002,1,2038,0.0006
KENYA,PHS002,1,2039,0.0008
KENYA,PHS002,1,2040,0.0016
KENYA,PHS002,1,2041,0.0016
KENYA,PHS002,1,2042,0.0016
KENYA,PHS002,1,2043,0.0016
KENYA,PHS002,1,2044,0.0021
KENYA,PHS002,1,2045,0.0028
KENYA,PHS002,1,2046,0.0028
KENYA,PHS002,1,2047,0.0032
KENYA,PHS002,1,2048,0.0061
KENYA,PHS002,1,2049,0.0064
KENYA,PHS002,1,2050,0.0067
KENYA,PHS002,2,2038,0.0006
KENYA,PHS002,2,2039,0.0008
KENYA,PHS002,2,2040,0.0016
KENYA,PHS002,2,2041,0.0016
KENYA,PHS002,2,2042,0.0016
KENYA,PHS002,2,2043,0.0016
KENYA,PHS002,2,2044,0.0021
KENYA,PHS002,2,2045,0.0028
KENYA,PHS002,2,2046,0.0028
KENYA,PHS002,2,2047,0.0032
KENYA,PHS002,2,2048,0.0061
KENYA,PHS002,2,2049,0.0064
KENYA,PHS002,2,2050,0.0067
KENYA,PHS002,3,2038,0.0006
KENYA,PHS002,3,2039,0.0008
KENYA,PHS002,3,2040,0.0016
KENYA,PHS002,3,2041,0.0016
KENYA,PHS002,3,2042,0.0016
KENYA,PHS002,3,2043,0.0016
KENYA,PHS002,3,2044,0.0021
KENYA,PHS002,3,2045,0.0028
KENYA,PHS002,3,2046,0.0028
KENYA,PHS002,3,2047,0.0032
KENYA,PHS002,3,2048,0.0061
KENYA,PHS002,3,2049,0.0064
KENYA,PHS002,3,2050,0.0067
KENYA,PHS002,4,2038,0.0006
KENYA,PHS002,4,2039,0.0008
KENYA,PHS002,4,2040,0.0016
KENYA,PHS002,4,2041,0.0016
KENYA,PHS002,4,2042,0.0016
KENYA,PHS002,4,2043,0.0016
KENYA,PHS002,4,2044,0.0021
KENYA,PHS002,4,2045,0.0028
KENYA,PHS002,4,2046,0.0028
KENYA,PHS002,4,2047,0.0032
KENYA,PHS002,4,2048,0.0061
KENYA,PHS002,4,2049,0.0064
KENYA,PHS002,4,2050,0.0067
