r,t,y,TotalTechnologyAnnualActivity
KENYA,BESS_TECH,2025,0.3261
KENYA,BESS_TECH,2026,0.8168
KENYA,BESS_TECH,2027,1.1643
KENYA,BESS_TECH,2028,1.8324
KENYA,BESS_TECH,2029,2.064
KENYA,BESS_TECH,2030,2.2568
KENYA,BESS_TECH,2031,2.4895
KENYA,BESS_TECH,2032,2.8909
KENYA,BESS_TECH,2033,3.2571
KENYA,BESS_TECH,2034,4.3935
KENYA,BESS_TECH,2035,5.0468
KENYA,BESS_TECH,2036,4.0417
KENYA,BESS_TECH,2037,3.8865
KENYA,BESS_TECH,2038,3.445
KENYA,BESS_TECH,2039,3.3924
KENYA,BESS_TECH,2040,1.8433
KENYA,BESS_TECH,2041,4.7699
KENYA,BESS_TECH,2042,9.7372
KENYA,BESS_TECH,2043,16.9178
KENYA,BESS_TECH,2044,21.9492
KENYA,BESS_TECH,2045,25.6013
KENYA,BESS_TECH,2046,26.7953
KENYA,BESS_TECH,2047,29.1833
KENYA,BESS_TECH,2048,32.9464
KENYA,BESS_TECH,2049,30.4398
KENYA,BESS_TECH,2050,32.5121
KENYA,DEMCOMELC,2019,6.2591
KENYA,DEMCOMELC,2020,6.3686
KENYA,DEMCOMELC,2021,6.6578
KENYA,DEMCOMELC,2022,6.8802
KENYA,DEMCOMELC,2023,7.0903
KENYA,DEMCOMELC,2024,7.3334
KENYA,DEMCOMELC,2025,7.5982
KENYA,DEMCOMELC,2026,8.2896
KENYA,DEMCOMELC,2027,9.0439
KENYA,DEMCOMELC,2028,9.8669
KENYA,DEMCOMELC,2029,10.7647
KENYA,DEMCOMELC,2030,11.7442
KENYA,DEMCOMELC,2031,12.8129
KENYA,DEMCOMELC,2032,13.9788
KENYA,DEMCOMELC,2033,15.2508
KENYA,DEMCOMELC,2034,16.6385
KENYA,DEMCOMELC,2035,18.1525
KENYA,DEMCOMELC,2036,19.8043
KENYA,DEMCOMELC,2037,21.6064
KENYA,DEMCOMELC,2038,23.5724
KENYA,DEMCOMELC,2039,25.7174
KENYA,DEMCOMELC,2040,28.0576
KENYA,DEMCOMELC,2041,30.6106
KENYA,DEMCOMELC,2042,33.1545
KENYA,DEMCOMELC,2043,35.858
KENYA,DEMCOMELC,2044,38.7819
KENYA,DEMCOMELC,2045,41.9442
KENYA,DEMCOMELC,2046,45.3644
KENYA,DEMCOMELC,2047,49.0635
KENYA,DEMCOMELC,2048,53.0642
KENYA,DEMCOMELC,2049,57.3912
KENYA,DEMCOMELC,2050,62.0709
KENYA,DEMINDELC,2019,21.5631
KENYA,DEMINDELC,2020,21.9401
KENYA,DEMINDELC,2021,22.9364
KENYA,DEMINDELC,2022,23.7027
KENYA,DEMINDELC,2023,24.4266
KENYA,DEMINDELC,2024,25.264
KENYA,DEMINDELC,2025,26.1763
KENYA,DEMINDELC,2026,28.5582
KENYA,DEMINDELC,2027,31.1568
KENYA,DEMINDELC,2028,33.9919
KENYA,DEMINDELC,2029,37.085
KENYA,DEMINDELC,2030,40.4595
KENYA,DEMINDELC,2031,44.1411
KENYA,DEMINDELC,2032,48.1577
KENYA,DEMINDELC,2033,52.5398
KENYA,DEMINDELC,2034,57.3206
KENYA,DEMINDELC,2035,62.5364
KENYA,DEMINDELC,2036,68.2269
KENYA,DEMINDELC,2037,74.4352
KENYA,DEMINDELC,2038,81.2084
KENYA,DEMINDELC,2039,88.5979
KENYA,DEMINDELC,2040,96.6598
KENYA,DEMINDELC,2041,105.4553
KENYA,DEMINDELC,2042,114.2192
KENYA,DEMINDELC,2043,123.5328
KENYA,DEMINDELC,2044,133.6058
KENYA,DEMINDELC,2045,144.5002
KENYA,DEMINDELC,2046,156.283
KENYA,DEMINDELC,2047,169.0265
KENYA,DEMINDELC,2048,182.8092
KENYA,DEMINDELC,2049,197.7157
KENYA,DEMINDELC,2050,213.8377
KENYA,DEMRESELC,2019,13.7907
KENYA,DEMRESELC,2020,14.0318
KENYA,DEMRESELC,2021,14.669
KENYA,DEMRESELC,2022,15.1591
KENYA,DEMRESELC,2023,15.6221
KENYA,DEMRESELC,2024,16.1577
KENYA,DEMRESELC,2025,16.7411
KENYA,DEMRESELC,2026,18.2645
KENYA,DEMRESELC,2027,19.9264
KENYA,DEMRESELC,2028,21.7396
KENYA,DEMRESELC,2029,23.7178
KENYA,DEMRESELC,2030,25.876
KENYA,DEMRESELC,2031,28.2306
KENYA,DEMRESELC,2032,30.7994
KENYA,DEMRESELC,2033,33.602
KENYA,DEMRESELC,2034,36.6596
KENYA,DEMRESELC,2035,39.9954
KENYA,DEMRESELC,2036,43.6348
KENYA,DEMRESELC,2037,47.6053
KENYA,DEMRESELC,2038,51.9371
KENYA,DEMRESELC,2039,56.6631
KENYA,DEMRESELC,2040,61.8191
KENYA,DEMRESELC,2041,67.4443
