r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2035,0.4595
KENYA,PHS001,2036,1.7056
KENYA,PHS001,2037,0.2194
KENYA,PHS001,2038,0.2226
KENYA,PHS001,2039,0.8485
KENYA,PHS001,2040,1.567
KENYA,PHS001,2043,0.0033
KENYA,PHS001,2046,0.0397
KENYA,PHS001,2047,0.0144
KENYA,PHS001,2048,0.2054
KENYA,PHS001,2049,0.1679
KENYA,PHS001,2050,0.1301
KENYA,PHS002,2034,3.3013
KENYA,PHS002,2035,0.7205
KENYA,PHS002,2036,0.2968
KENYA,PHS002,2038,0.1778
KENYA,PHS002,2039,0.0718
KENYA,PHS002,2040,0.9139
KENYA,PHS002,2043,0.9378
KENYA,PHS002,2044,0.12
