r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2024,-0.009
KENYA,BESS001,1,1,1,2026,-0.0147
KENYA,BESS001,1,1,1,2030,-0.0095
KENYA,BESS001,1,1,1,2033,-0.0103
KENYA,BESS001,1,1,1,2034,-0.1108
KENYA,BESS001,1,1,1,2044,-0.0004
KENYA,BESS001,1,1,1,2047,-0.1836
KENYA,BESS001,1,1,1,2049,-0.0517
KENYA,BESS001,1,1,1,2050,-0.0531
KENYA,BESS001,1,1,2,2026,-0.0036
KENYA,BESS001,1,1,2,2027,-0.0012
KENYA,BESS001,1,1,2,2028,-0.0463
KENYA,BESS001,1,1,2,2029,-0.0599
KENYA,BESS001,1,1,2,2030,-0.0571
KENYA,BESS001,1,1,2,2031,0.0054
KENYA,BESS001,1,1,2,2044,-0.0295
KENYA,BESS001,1,1,2,2045,-0.0018
KENYA,BESS001,1,1,2,2046,-0.1061
KENYA,BESS001,1,1,2,2047,-0.1031
KENYA,BESS001,1,1,2,2048,-0.2079
KENYA,BESS001,1,1,2,2049,-0.2555
KENYA,BESS001,1,1,3,2024,-0.0001
KENYA,BESS001,1,1,3,2025,-0.0438
KENYA,BESS001,1,1,3,2026,-0.0169
KENYA,BESS001,1,1,3,2027,-0.0579
KENYA,BESS001,1,1,3,2029,-0.0274
KENYA,BESS001,1,1,3,2030,-0.0361
KENYA,BESS001,1,1,3,2032,0.0001
KENYA,BESS001,1,1,3,2044,-0.0004
KENYA,BESS001,1,1,3,2045,-0.1236
KENYA,BESS001,1,1,3,2046,-0.0031
KENYA,BESS001,1,1,3,2049,-0.0784
KENYA,BESS001,1,1,3,2050,-0.1158
KENYA,BESS001,1,1,4,2024,0.006
KENYA,BESS001,1,1,4,2025,0.022
KENYA,BESS001,1,1,4,2026,0.0175
KENYA,BESS001,1,1,4,2027,0.0775
KENYA,BESS001,1,1,4,2028,0.0649
KENYA,BESS001,1,1,4,2029,0.0462
KENYA,BESS001,1,1,4,2030,0.08
KENYA,BESS001,1,1,4,2031,-0.0184
KENYA,BESS001,1,1,4,2032,-0.0013
KENYA,BESS001,1,1,4,2033,0.0143
KENYA,BESS001,1,1,4,2034,0.074
KENYA,BESS001,1,1,4,2044,0.0395
KENYA,BESS001,1,1,4,2045,0.0826
KENYA,BESS001,1,1,4,2046,0.1418
KENYA,BESS001,1,1,4,2047,0.2145
