r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2024,-0.2048
KENYA,BESS001,1,1,1,2026,-0.3346
KENYA,BESS001,1,1,1,2030,-0.2164
KENYA,BESS001,1,1,1,2033,-0.2338
KENYA,BESS001,1,1,1,2034,-2.5174
KENYA,BESS001,1,1,1,2044,-0.0098
KENYA,BESS001,1,1,1,2047,-4.1737
KENYA,BESS001,1,1,1,2049,-1.1749
KENYA,BESS001,1,1,1,2050,-1.2075
KENYA,BESS001,1,1,2,2026,-0.1655
KENYA,BESS001,1,1,2,2027,-0.0548
KENYA,BESS001,1,1,2,2028,-2.1052
KENYA,BESS001,1,1,2,2029,-2.7221
KENYA,BESS001,1,1,2,2030,-2.5953
KENYA,BESS001,1,1,2,2031,0.2437
KENYA,BESS001,1,1,2,2044,-1.3421
KENYA,BESS001,1,1,2,2045,-0.0826
KENYA,BESS001,1,1,2,2046,-4.8234
KENYA,BESS001,1,1,2,2047,-4.6852
KENYA,BESS001,1,1,2,2048,-9.4502
KENYA,BESS001,1,1,2,2049,-11.6138
KENYA,BESS001,1,1,3,2024,-0.003
KENYA,BESS001,1,1,3,2025,-0.9947
KENYA,BESS001,1,1,3,2026,-0.3848
KENYA,BESS001,1,1,3,2027,-1.3158
KENYA,BESS001,1,1,3,2029,-0.6225
KENYA,BESS001,1,1,3,2030,-0.8214
KENYA,BESS001,1,1,3,2032,0.0013
KENYA,BESS001,1,1,3,2044,-0.01
KENYA,BESS001,1,1,3,2045,-2.808
KENYA,BESS001,1,1,3,2046,-0.0709
KENYA,BESS001,1,1,3,2049,-1.7807
KENYA,BESS001,1,1,3,2050,-2.6321
KENYA,BESS001,1,1,4,2024,0.2048
KENYA,BESS001,1,1,4,2025,0.7478
KENYA,BESS001,1,1,4,2026,0.5942
KENYA,BESS001,1,1,4,2027,2.6366
KENYA,BESS001,1,1,4,2028,2.207
KENYA,BESS001,1,1,4,2029,1.5712
KENYA,BESS001,1,1,4,2030,2.7221
KENYA,BESS001,1,1,4,2031,-0.6268
KENYA,BESS001,1,1,4,2032,-0.0431
KENYA,BESS001,1,1,4,2033,0.4863
KENYA,BESS001,1,1,4,2034,2.5174
KENYA,BESS001,1,1,4,2044,1.3421
KENYA,BESS001,1,1,4,2045,2.808
KENYA,BESS001,1,1,4,2046,4.8234
KENYA,BESS001,1,1,4,2047,7.2966
KENYA,BESS001,1,1,4,2048,9.4502
KENYA,BESS001,1,1,4,2049,11.6138
KENYA,BESS001,1,1,4,2050,15.6268
KENYA,BESS001,1,1,5,2024,0.2048
KENYA,BESS001,1,1,5,2025,2.0759
KENYA,BESS001,1,1,5,2026,1.6091
KENYA,BESS001,1,1,5,2027,2.7221
KENYA,BESS001,1,1,5,2028,2.7221
KENYA,BESS001,1,1,5,2029,2.7221
KENYA,BESS001,1,1,5,2030,2.7221
KENYA,BESS001,1,1,5,2031,0.405
KENYA,BESS001,1,1,5,2032,0.0823
KENYA,BESS001,1,1,5,2033,-0.2814
KENYA,BESS001,1,1,5,2034,2.5174
KENYA,BESS001,1,1,5,2044,1.3421
KENYA,BESS001,1,1,5,2045,2.808
KENYA,BESS001,1,1,5,2046,4.8234
KENYA,BESS001,1,1,5,2047,4.7136
KENYA,BESS001,1,1,5,2048,3.7033
KENYA,BESS001,1,1,5,2049,2.713
KENYA,BESS001,1,1,5,2050,3.1986
KENYA,BESS001,1,1,6,2025,-0.4266
KENYA,BESS001,1,1,6,2026,-0.2882
KENYA,BESS001,1,1,6,2027,-2.7221
KENYA,BESS001,1,1,6,2028,-2.7221
KENYA,BESS001,1,1,6,2030,-0.8534
KENYA,BESS001,1,1,6,2031,0.3304
KENYA,BESS001,1,1,6,2034,-0.074
KENYA,BESS001,1,1,6,2044,-1.3421
KENYA,BESS001,1,1,6,2046,-4.8234
KENYA,BESS001,1,1,6,2047,-0.028
KENYA,BESS001,1,1,6,2048,-5.8405
KENYA,BESS001,1,1,6,2049,-0.0231
KENYA,BESS001,1,1,6,2050,-15.6268
KENYA,BESS001,1,2,1,2025,1.0979
KENYA,BESS001,1,2,1,2026,0.225
KENYA,BESS001,1,2,1,2027,0.3104
KENYA,BESS001,1,2,1,2029,2.7221
KENYA,BESS001,1,2,1,2030,0.681
KENYA,BESS001,1,2,1,2031,2.7221
KENYA,BESS001,1,2,1,2032,1.9038
KENYA,BESS001,1,2,1,2033,1.8134
