r,s,y,SalvageValueStorage
KENYA,PHS001,2035,7.0342
KENYA,PHS001,2036,26.1075
KENYA,PHS001,2037,3.3591
KENYA,PHS001,2038,3.4067
KENYA,PHS001,2039,12.9888
KENYA,PHS001,2040,23.9855
KENYA,PHS001,2043,0.0506
KENYA,PHS001,2046,0.6079
KENYA,PHS001,2047,0.2198
KENYA,PHS001,2048,3.1435
KENYA,PHS001,2049,2.5701
KENYA,PHS001,2050,1.991
KENYA,PHS002,2034,50.5339
KENYA,PHS002,2035,11.0281
KENYA,PHS002,2036,4.5428
KENYA,PHS002,2038,2.7217
KENYA,PHS002,2039,1.0992
KENYA,PHS002,2040,13.9896
KENYA,PHS002,2043,14.3543
KENYA,PHS002,2044,1.8375
