r,s,y,AccumulatedNewStorageCapacity
KENYA,BESS001,2019,0.003
KENYA,BESS001,2020,0.003
KENYA,BESS001,2021,0.0082
KENYA,BESS001,2022,0.0612
KENYA,BESS001,2023,0.0612
KENYA,BESS001,2024,0.0886
KENYA,BESS001,2025,0.9083
KENYA,BESS001,2026,0.9083
KENYA,BESS001,2027,1.0259
KENYA,BESS001,2028,1.0402
KENYA,BESS001,2029,1.0372
KENYA,BESS001,2030,1.0615
KENYA,BESS001,2031,1.0562
KENYA,BESS001,2032,1.0032
KENYA,BESS001,2033,1.182
KENYA,BESS001,2034,1.1545
KENYA,BESS001,2035,0.3349
KENYA,BESS001,2036,0.3784
KENYA,BESS001,2037,0.486
KENYA,BESS001,2038,0.5445
KENYA,BESS001,2039,0.6547
KENYA,BESS001,2040,1.5352
KENYA,BESS001,2041,1.9184
KENYA,BESS001,2042,1.9689
KENYA,BESS001,2043,2.3928
KENYA,BESS001,2044,3.0195
KENYA,BESS001,2045,3.5664
KENYA,BESS001,2046,4.5135
KENYA,BESS001,2047,5.3178
KENYA,BESS001,2048,5.5382
KENYA,BESS001,2049,6.2075
KENYA,BESS001,2050,6.3609
KENYA,PHS001,2034,0.0023
KENYA,PHS001,2035,0.0023
KENYA,PHS001,2036,0.0031
KENYA,PHS001,2037,0.0031
KENYA,PHS001,2038,0.0031
KENYA,PHS001,2039,0.0031
KENYA,PHS001,2040,0.0031
KENYA,PHS001,2041,0.0031
KENYA,PHS001,2042,0.0031
KENYA,PHS001,2043,0.0031
KENYA,PHS001,2044,0.0031
KENYA,PHS001,2045,0.0031
KENYA,PHS001,2046,0.0031
KENYA,PHS001,2047,0.0031
KENYA,PHS001,2048,0.0031
KENYA,PHS001,2049,0.0031
KENYA,PHS001,2050,0.0031
KENYA,PHS002,2035,0.0016
KENYA,PHS002,2036,0.0016
KENYA,PHS002,2037,0.002
KENYA,PHS002,2038,0.002
KENYA,PHS002,2039,0.0026
KENYA,PHS002,2040,0.0026
KENYA,PHS002,2041,0.0026
KENYA,PHS002,2042,0.0026
KENYA,PHS002,2043,0.0026
KENYA,PHS002,2044,0.0026
KENYA,PHS002,2045,0.0026
KENYA,PHS002,2046,0.0026
KENYA,PHS002,2047,0.0026
KENYA,PHS002,2048,0.0026
KENYA,PHS002,2049,0.0026
KENYA,PHS002,2050,0.0026
