r,e,y,AnnualEmissions
KENYA,CO2,2019,1.081
KENYA,CO2,2020,1.2289
KENYA,CO2,2021,1.2647
KENYA,CO2,2022,0.3736
KENYA,CO2,2023,0.3995
KENYA,CO2,2024,0.6419
KENYA,CO2,2025,0.4391
KENYA,CO2,2026,0.1041
KENYA,CO2,2027,0.1522
KENYA,CO2,2028,0.1928
KENYA,CO2,2029,0.1626
KENYA,CO2,2030,0.3393
KENYA,CO2,2031,0.3872
KENYA,CO2,2032,0.432
KENYA,CO2,2033,0.4598
KENYA,CO2,2034,0.4527
KENYA,CO2,2035,0.4753
KENYA,CO2,2036,0.4824
KENYA,CO2,2037,0.5071
KENYA,CO2,2038,0.4893
KENYA,CO2,2039,0.5007
KENYA,CO2,2040,0.5083
KENYA,CO2,2041,0.5147
KENYA,CO2,2042,0.5505
KENYA,CO2,2043,0.5411
KENYA,CO2,2044,0.5466
KENYA,CO2,2045,0.5659
KENYA,CO2,2046,0.5802
KENYA,CO2,2047,0.6044
KENYA,CO2,2048,0.6776
KENYA,CO2,2049,0.7248
KENYA,CO2,2050,0.7675
