r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0023
KENYA,PHS001,2036,0.0007
KENYA,PHS002,2035,0.0016
KENYA,PHS002,2037,0.0004
KENYA,PHS002,2039,0.0006
KENYA,BESS001,2019,0.003
KENYA,BESS001,2021,0.0052
KENYA,BESS001,2022,0.053
KENYA,BESS001,2024,0.0274
KENYA,BESS001,2025,0.8196
KENYA,BESS001,2027,0.1177
KENYA,BESS001,2028,0.0142
KENYA,BESS001,2030,0.0243
KENYA,BESS001,2033,0.1787
KENYA,BESS001,2036,0.0435
KENYA,BESS001,2037,0.2252
KENYA,BESS001,2038,0.0727
KENYA,BESS001,2039,0.1102
KENYA,BESS001,2040,0.9048
KENYA,BESS001,2041,0.3831
KENYA,BESS001,2042,0.0505
KENYA,BESS001,2043,0.6027
KENYA,BESS001,2044,0.6267
KENYA,BESS001,2045,0.5469
KENYA,BESS001,2046,0.9906
KENYA,BESS001,2047,1.0296
KENYA,BESS001,2048,0.2931
KENYA,BESS001,2049,0.7795
KENYA,BESS001,2050,1.0582
