r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2025,-1.208
KENYA,BESS001,1,1,1,2028,-2.4137
KENYA,BESS001,1,1,1,2029,-0.6225
KENYA,BESS001,1,1,1,2030,-2.7221
KENYA,BESS001,1,1,1,2033,-0.3237
KENYA,BESS001,1,1,1,2034,-0.037
KENYA,BESS001,1,1,1,2036,-0.6251
KENYA,BESS001,1,1,1,2042,-1.1286
KENYA,BESS001,1,1,1,2043,-1.3535
KENYA,BESS001,1,1,1,2047,-2.1054
KENYA,BESS001,1,1,1,2048,-2.6726
KENYA,BESS001,1,1,1,2049,-4.0729
KENYA,BESS001,1,1,1,2050,-9.0498
KENYA,BESS001,1,1,2,2024,-0.006
KENYA,BESS001,1,1,2,2027,-2.6865
KENYA,BESS001,1,1,2,2029,-2.7221
KENYA,BESS001,1,1,2,2033,-1.9414
KENYA,BESS001,1,1,2,2034,-2.5174
KENYA,BESS001,1,1,2,2035,-0.099
KENYA,BESS001,1,1,2,2037,-0.6403
KENYA,BESS001,1,1,2,2038,-0.0285
KENYA,BESS001,1,1,2,2039,-1.2539
KENYA,BESS001,1,1,2,2040,-3.7225
KENYA,BESS001,1,1,2,2042,-4.8386
KENYA,BESS001,1,1,2,2043,-5.9752
KENYA,BESS001,1,1,2,2044,-2.3348
KENYA,BESS001,1,1,2,2045,-3.944
KENYA,BESS001,1,1,2,2047,-13.4965
KENYA,BESS001,1,1,2,2048,-14.202
KENYA,BESS001,1,1,2,2049,-10.589
KENYA,BESS001,1,1,3,2024,-0.2048
KENYA,BESS001,1,1,3,2030,-0.04
KENYA,BESS001,1,1,3,2031,0.0755
KENYA,BESS001,1,1,3,2035,-0.0903
KENYA,BESS001,1,1,3,2038,-1.1963
KENYA,BESS001,1,1,3,2040,-0.3767
KENYA,BESS001,1,1,3,2041,-2.3401
KENYA,BESS001,1,1,3,2044,-0.468
KENYA,BESS001,1,1,3,2046,-7.4956
KENYA,BESS001,1,1,3,2049,-2.2073
KENYA,BESS001,1,1,4,2024,0.2048
KENYA,BESS001,1,1,4,2025,0.7478
KENYA,BESS001,1,1,4,2026,0.5942
KENYA,BESS001,1,1,4,2027,2.6366
KENYA,BESS001,1,1,4,2028,2.207
KENYA,BESS001,1,1,4,2029,1.5712
KENYA,BESS001,1,1,4,2030,2.7221
KENYA,BESS001,1,1,4,2031,-0.6268
KENYA,BESS001,1,1,4,2032,-0.0431
KENYA,BESS001,1,1,4,2033,1.7218
KENYA,BESS001,1,1,4,2034,2.5174
KENYA,BESS001,1,1,4,2035,0.1377
KENYA,BESS001,1,1,4,2036,0.8841
KENYA,BESS001,1,1,4,2037,1.1169
KENYA,BESS001,1,1,4,2038,1.1963
KENYA,BESS001,1,1,4,2039,1.4626
KENYA,BESS001,1,1,4,2040,2.8168
KENYA,BESS001,1,1,4,2041,3.2692
KENYA,BESS001,1,1,4,2042,4.8386
KENYA,BESS001,1,1,4,2043,5.9752
KENYA,BESS001,1,1,4,2044,7.6367
KENYA,BESS001,1,1,4,2045,8.9856
KENYA,BESS001,1,1,4,2046,11.1483
KENYA,BESS001,1,1,4,2047,13.4965
KENYA,BESS001,1,1,4,2048,14.202
KENYA,BESS001,1,1,4,2049,17.0989
KENYA,BESS001,1,1,4,2050,16.363
KENYA,BESS001,1,1,5,2024,0.2048
KENYA,BESS001,1,1,5,2025,2.0759
KENYA,BESS001,1,1,5,2026,1.6091
KENYA,BESS001,1,1,5,2027,2.7221
KENYA,BESS001,1,1,5,2028,2.7221
KENYA,BESS001,1,1,5,2029,2.7221
KENYA,BESS001,1,1,5,2030,2.7221
KENYA,BESS001,1,1,5,2031,0.405
KENYA,BESS001,1,1,5,2032,0.0823
KENYA,BESS001,1,1,5,2033,2.4426
KENYA,BESS001,1,1,5,2034,2.5174
KENYA,BESS001,1,1,5,2035,0.1377
KENYA,BESS001,1,1,5,2036,0.0799
KENYA,BESS001,1,1,5,2037,0.3638
KENYA,BESS001,1,1,5,2038,1.1864
KENYA,BESS001,1,1,5,2039,1.0904
KENYA,BESS001,1,1,5,2040,0.9829
KENYA,BESS001,1,1,5,2041,0.3802
KENYA,BESS001,1,1,5,2042,0.8123
KENYA,BESS001,1,1,5,2043,0.8842
KENYA,BESS001,1,1,5,2044,0.8506
KENYA,BESS001,1,1,5,2045,0.4869
KENYA,BESS001,1,1,5,2046,-0.1357
KENYA,BESS001,1,1,5,2047,-0.817
KENYA,BESS001,1,1,5,2048,0.4919
KENYA,BESS001,1,1,5,2049,0.0229
KENYA,BESS001,1,1,5,2050,-5.9701
KENYA,BESS001,1,1,6,2026,-1.8925
KENYA,BESS001,1,1,6,2027,-2.7221
KENYA,BESS001,1,1,6,2031,0.4231
KENYA,BESS001,1,1,6,2032,0.0026
KENYA,BESS001,1,1,6,2033,-1.3931
KENYA,BESS001,1,1,6,2034,-2.5174
KENYA,BESS001,1,1,6,2037,-1.1169
KENYA,BESS001,1,1,6,2039,-1.4626
KENYA,BESS001,1,1,6,2044,-7.6367
KENYA,BESS001,1,1,6,2045,-8.5425
KENYA,BESS001,1,2,1,2025,1.0979
KENYA,BESS001,1,2,1,2026,2.0164
KENYA,BESS001,1,2,1,2028,0.9255
KENYA,BESS001,1,2,1,2029,2.7221
KENYA,BESS001,1,2,1,2030,0.681
KENYA,BESS001,1,2,1,2031,2.1007
KENYA,BESS001,1,2,1,2032,2.7221
KENYA,BESS001,1,2,1,2033,2.7221
KENYA,BESS001,1,2,1,2034,2.1583
KENYA,BESS001,1,2,1,2035,0.1377
KENYA,BESS001,1,2,1,2036,0.5851
KENYA,BESS001,1,2,1,2037,0.7391
KENYA,BESS001,1,2,1,2038,0.7917
KENYA,BESS001,1,2,1,2039,1.4626
KENYA,BESS001,1,2,1,2040,2.8512
KENYA,BESS001,1,2,1,2041,1.6305
