r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS01,2025,1.208
KENYA,BESS_TECH,TS01,2028,2.4137
KENYA,BESS_TECH,TS01,2029,0.6225
KENYA,BESS_TECH,TS01,2030,2.7221
KENYA,BESS_TECH,TS01,2033,0.3237
KENYA,BESS_TECH,TS01,2034,0.037
KENYA,BESS_TECH,TS01,2036,0.6251
KENYA,BESS_TECH,TS01,2042,1.1286
KENYA,BESS_TECH,TS01,2043,1.3535
KENYA,BESS_TECH,TS01,2047,2.1054
KENYA,BESS_TECH,TS01,2048,2.6726
KENYA,BESS_TECH,TS01,2049,4.0729
KENYA,BESS_TECH,TS01,2050,9.0498
KENYA,BESS_TECH,TS02,2024,0.006
KENYA,BESS_TECH,TS02,2027,2.6865
KENYA,BESS_TECH,TS02,2029,2.7221
KENYA,BESS_TECH,TS02,2033,1.9414
KENYA,BESS_TECH,TS02,2034,2.5174
KENYA,BESS_TECH,TS02,2035,0.099
KENYA,BESS_TECH,TS02,2037,0.6403
KENYA,BESS_TECH,TS02,2038,0.0285
KENYA,BESS_TECH,TS02,2039,1.2539
KENYA,BESS_TECH,TS02,2040,3.7225
KENYA,BESS_TECH,TS02,2042,4.8386
KENYA,BESS_TECH,TS02,2043,5.9752
KENYA,BESS_TECH,TS02,2044,2.3348
KENYA,BESS_TECH,TS02,2045,3.944
KENYA,BESS_TECH,TS02,2047,13.4965
KENYA,BESS_TECH,TS02,2048,14.202
KENYA,BESS_TECH,TS02,2049,10.589
KENYA,BESS_TECH,TS03,2024,0.2048
KENYA,BESS_TECH,TS03,2030,0.04
KENYA,BESS_TECH,TS03,2031,0.0755
KENYA,BESS_TECH,TS03,2035,0.0903
KENYA,BESS_TECH,TS03,2038,1.1963
KENYA,BESS_TECH,TS03,2040,0.3767
KENYA,BESS_TECH,TS03,2041,2.3401
KENYA,BESS_TECH,TS03,2044,0.468
KENYA,BESS_TECH,TS03,2046,7.4956
KENYA,BESS_TECH,TS03,2049,2.2073
KENYA,BESS_TECH,TS04,2024,0.2048
KENYA,BESS_TECH,TS04,2025,0.7478
KENYA,BESS_TECH,TS04,2026,0.5942
