r,s,ls,y,StorageLevelSeasonStart
KENYA,BESS001,1,2019,0.0015
KENYA,BESS001,1,2020,0.0015
KENYA,BESS001,1,2021,0.0041
KENYA,BESS001,1,2022,0.0306
KENYA,BESS001,1,2023,0.0306
KENYA,BESS001,1,2024,0.0443
KENYA,BESS001,1,2025,0.4541
KENYA,BESS001,1,2026,0.4541
KENYA,BESS001,1,2027,0.513
KENYA,BESS001,1,2028,0.5201
KENYA,BESS001,1,2029,0.5186
KENYA,BESS001,1,2030,0.5307
KENYA,BESS001,1,2031,0.5281
KENYA,BESS001,1,2032,0.5016
KENYA,BESS001,1,2033,0.591
KENYA,BESS001,1,2034,0.5773
KENYA,BESS001,1,2035,0.1675
KENYA,BESS001,1,2036,0.1892
KENYA,BESS001,1,2037,0.243
KENYA,BESS001,1,2038,0.2722
KENYA,BESS001,1,2039,0.3273
KENYA,BESS001,1,2040,0.7676
KENYA,BESS001,1,2041,0.9592
KENYA,BESS001,1,2042,0.9844
KENYA,BESS001,1,2043,1.1964
KENYA,BESS001,1,2044,1.5098
KENYA,BESS001,1,2045,1.7832
KENYA,BESS001,1,2046,2.2568
KENYA,BESS001,1,2047,2.6589
KENYA,BESS001,1,2048,2.7691
KENYA,BESS001,1,2049,3.1038
KENYA,BESS001,1,2050,3.1804
KENYA,BESS001,2,2019,0.0015
KENYA,BESS001,2,2020,0.0015
KENYA,BESS001,2,2021,0.0041
KENYA,BESS001,2,2022,0.0306
KENYA,BESS001,2,2023,0.0306
KENYA,BESS001,2,2024,0.0557
KENYA,BESS001,2,2025,0.5297
KENYA,BESS001,2,2026,0.5361
KENYA,BESS001,2,2027,0.6499
KENYA,BESS001,2,2028,0.6413
KENYA,BESS001,2,2029,0.6559
KENYA,BESS001,2,2030,0.6628
KENYA,BESS001,2,2031,0.6161
KENYA,BESS001,2,2032,0.5672
KENYA,BESS001,2,2033,0.7385
KENYA,BESS001,2,2034,0.7494
KENYA,BESS001,2,2035,0.178
KENYA,BESS001,2,2036,0.2448
KENYA,BESS001,2,2037,0.3171
KENYA,BESS001,2,2038,0.3633
KENYA,BESS001,2,2039,0.4334
KENYA,BESS001,2,2040,0.9586
KENYA,BESS001,2,2041,1.1888
KENYA,BESS001,2,2042,1.2356
KENYA,BESS001,2,2043,1.4816
KENYA,BESS001,2,2044,1.8606
KENYA,BESS001,2,2045,2.1902
KENYA,BESS001,2,2046,2.8108
KENYA,BESS001,2,2047,3.2842
KENYA,BESS001,2,2048,3.3985
KENYA,BESS001,2,2049,3.8122
KENYA,BESS001,2,2050,3.8699
KENYA,BESS001,3,2019,0.0015
KENYA,BESS001,3,2020,0.0015
KENYA,BESS001,3,2021,0.0041
KENYA,BESS001,3,2022,0.0306
KENYA,BESS001,3,2023,0.0306
KENYA,BESS001,3,2024,0.0639
KENYA,BESS001,3,2025,0.6469
KENYA,BESS001,3,2026,0.6266
KENYA,BESS001,3,2027,0.7469
KENYA,BESS001,3,2028,0.7556
KENYA,BESS001,3,2029,0.7911
KENYA,BESS001,3,2030,0.7712
KENYA,BESS001,3,2031,0.7676
KENYA,BESS001,3,2032,0.7226
KENYA,BESS001,3,2033,0.9144
KENYA,BESS001,3,2034,0.9121
KENYA,BESS001,3,2035,0.1882
KENYA,BESS001,3,2036,0.3019
KENYA,BESS001,3,2037,0.3893
KENYA,BESS001,3,2038,0.4411
KENYA,BESS001,3,2039,0.5286
KENYA,BESS001,3,2040,1.2152
KENYA,BESS001,3,2041,1.5016
KENYA,BESS001,3,2042,1.5516
KENYA,BESS001,3,2043,1.8776
KENYA,BESS001,3,2044,2.3614
KENYA,BESS001,3,2045,2.7945
KENYA,BESS001,3,2046,3.5564
