r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,BESS_TECH,2,2024,0.0517
KENYA,BESS_TECH,2,2025,0.4703
KENYA,BESS_TECH,2,2026,0.5186
KENYA,BESS_TECH,2,2027,0.5978
KENYA,BESS_TECH,2,2028,0.5831
KENYA,BESS_TECH,2,2029,0.618
KENYA,BESS_TECH,2,2030,0.6312
KENYA,BESS_TECH,2,2031,0.6311
KENYA,BESS_TECH,2,2032,0.6148
KENYA,BESS_TECH,2,2033,0.7627
KENYA,BESS_TECH,2,2034,0.7291
KENYA,BESS_TECH,2,2035,0.0569
KENYA,BESS_TECH,2,2036,0.2704
KENYA,BESS_TECH,2,2037,0.3533
KENYA,BESS_TECH,2,2038,0.3724
KENYA,BESS_TECH,2,2039,0.4369
KENYA,BESS_TECH,2,2040,0.9278
KENYA,BESS_TECH,2,2041,1.1472
KENYA,BESS_TECH,2,2042,1.2978
KENYA,BESS_TECH,2,2043,1.5986
KENYA,BESS_TECH,2,2044,1.9736
KENYA,BESS_TECH,2,2045,2.131
KENYA,BESS_TECH,2,2046,2.589
KENYA,BESS_TECH,2,2047,2.944
KENYA,BESS_TECH,2,2048,3.0952
KENYA,BESS_TECH,2,2049,3.5081
KENYA,BESS_TECH,2,2050,3.5651
KENYA,BESS_TECH,1,2024,0.0517
KENYA,BESS_TECH,1,2025,0.4703
KENYA,BESS_TECH,1,2026,0.5186
KENYA,BESS_TECH,1,2027,0.5978
KENYA,BESS_TECH,1,2028,0.5831
KENYA,BESS_TECH,1,2029,0.618
KENYA,BESS_TECH,1,2030,0.6312
KENYA,BESS_TECH,1,2031,0.6311
KENYA,BESS_TECH,1,2032,0.6148
KENYA,BESS_TECH,1,2033,0.7627
KENYA,BESS_TECH,1,2034,0.7291
KENYA,BESS_TECH,1,2035,0.0569
KENYA,BESS_TECH,1,2036,0.2704
KENYA,BESS_TECH,1,2037,0.3533
KENYA,BESS_TECH,1,2038,0.3724
KENYA,BESS_TECH,1,2039,0.4369
KENYA,BESS_TECH,1,2040,0.9278
KENYA,BESS_TECH,1,2041,1.1472
KENYA,BESS_TECH,1,2042,1.2978
KENYA,BESS_TECH,1,2043,1.5986
KENYA,BESS_TECH,1,2044,1.9736
KENYA,BESS_TECH,1,2045,2.131
KENYA,BESS_TECH,1,2046,2.589
KENYA,BESS_TECH,1,2047,2.944
KENYA,BESS_TECH,1,2048,3.0952
KENYA,BESS_TECH,1,2049,3.5081
KENYA,BESS_TECH,1,2050,3.5651
KENYA,DEMCOMELC,1,2019,6.2591
KENYA,DEMCOMELC,1,2020,6.3686
KENYA,DEMCOMELC,1,2021,6.6578
KENYA,DEMCOMELC,1,2022,6.8802
KENYA,DEMCOMELC,1,2023,7.0903
KENYA,DEMCOMELC,1,2024,7.3334
KENYA,DEMCOMELC,1,2025,7.5982
